docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle
nyp.33433074915137,"Lady Morgan, (Sydney)","Morgan, (Sydney), Lady",1783-1859.,1806,1806,s,1806,    ,London;Printed for R. Phillips;1806.,1806,[1st ed.],London|NotFiction|England|Fiction|Novels,,,,6949862.0,enk,6502445,3,11,11,v. 3,3.0,"The novice of Saint Dominick, | $c: by Miss Owenson. | $n: 1",,True,The novice of Saint Dominick
uiuo.ark+=13960=t14m9ft6z,Bennett,Bennett,,1806,1806,s,1806,    ,"London;Printed at the Minerva Press, for Lane, Newman, and Co.;1806.",1806,,,,,,6652683.0,enk,8724087,1,4,4,v.1,1.0,Vicissitudes abroad;,,True,Vicissitudes abroad;
uiuo.ark+=13960=t9s18bv5j,"Frances, Sophia L","Frances, Sophia L",,1806,1806,s,1806,    ,"London;Printed at the Minerva Press, for Lane, Newman;1806.",1806,,,,,,77319848.0,enk,8724127,1,4,4,v.3,3.0,"Vivonio, or, The hour of retribution",,True,"Vivonio, or, The hour of retribution"
uiuo.ark+=13960=t63498m8d,"Roche, Regina Maria","Roche, Regina Maria",1764?-1845.,1807,1807,s,1807,    ,"London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.",1807,,,,,,7027021.0,enk,8719317,1,5,5,v.2,2.0,The discarded son;,,True,The discarded son;
mdp.39076006602259,"Mackenzie, Henry","Mackenzie, Henry",1745-1831.,1808,1808,s,1808,    ,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",1808,"I. Man of feeling. Man of the world.--II. Man of the world (cont.)--III. Julia de Roubigné.--IV. Papers from The Mirror.--V. Papers from The Mirror (cont.) Papers from The Lounger.--VI. Papers from The Lounger (cont.)--VII. Papers from The Lounger (cont.) Life of Dr. Blacklock. Life of Lord Abercromby. Life of William Tytler. Review of the principal proceedings of the Parliament of 1784.--VIII. Poems. Dramatic pieces: The prince of Tunis. The Spanish father. False shame, or The white hypocrit.",NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",,PR3543.M2 1808,603184.0,stk,630145,3,3,3,v.2,2.0,"The works of Henry Mackenzie, esq. ...",Man of the world (cont,True,Man of the world (cont
mdp.39076006602267,"Mackenzie, Henry","Mackenzie, Henry",1745-1831.,1808,1808,s,1808,    ,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",1808,"I. Man of feeling. Man of the world.--II. Man of the world (cont.)--III. Julia de Roubigné.--IV. Papers from The Mirror.--V. Papers from The Mirror (cont.) Papers from The Lounger.--VI. Papers from The Lounger (cont.)--VII. Papers from The Lounger (cont.) Life of Dr. Blacklock. Life of Lord Abercromby. Life of William Tytler. Review of the principal proceedings of the Parliament of 1784.--VIII. Poems. Dramatic pieces: The prince of Tunis. The Spanish father. False shame, or The white hypocrit.",Bibliographies|Fiction|NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",,PR3543.M2 1808,603184.0,stk,630145,4,10,7,v.3,3.0,"The works of Henry Mackenzie, esq. ...",Julia de Roubigné,True,Julia de Roubigné
uiuo.ark+=13960=t9x06cv0p,"Burney, Sarah Harriet","Burney, Sarah Harriet",1772-1844.,1808,1808,s,1808,    ,London;Printed for G. Wilkie and J. Robinson;1808.,1808,,NotFiction,,,,11715312.0,enk,8719963,2,9,9,v.1,1.0,Geraldine Fauconberg,,True,Geraldine Fauconberg
njp.32101069165098,"Burney, Sarah Harriet","Burney, Sarah Harriet",1772-1844.,1808,1808,s,1808,    ,London;Printed for G. Wilkie and J. Robinson;1808.,1808,,NotFiction,,,,11715312.0,enk,8719963,2,9,9,vol. 2,2.0,Geraldine Fauconberg. | $c: By the author of Clarentine. | $n: 1,,True,Geraldine Fauconberg
uiuo.ark+=13960=t5v705989,"Hook, Theodore Edward","Hook, Theodore Edward",1788-1841.,1808,1808,s,1808,    ,London;S. Tipper;1808.,1808,,Fiction,,,,12685383.0,enk,8721408,1,5,3,v.1,1.0,The man of sorrow;,,True,The man of sorrow;
nyp.33433074917851,"Carter, Elizabeth","Carter, Elizabeth",1717-1806.,1809,1806,s,1809,    ,London;F. C. and J. Rivington;1809.,1809,,London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments,"Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine",,PR3339.C4A8 1809,15218151.0,enk,283471,2,9,9,v. 2,2.0,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.",,True,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington"
nyp.33433074917877,"Carter, Elizabeth","Carter, Elizabeth",1717-1806.,1809,1806,s,1809,    ,London;F. C. and J. Rivington;1809.,1809,,London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments,"Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine",,PR3339.C4A8 1809,15218151.0,enk,283471,2,9,9,v. 4,4.0,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.",,True,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington"
uc1.b3287723,"Cumberland, Richard","Cumberland, Richard",1732-1811.,1809,1809,s,1809,    ,"London;Printed for Lackington, Allen, and Co.;1809.",1809,2nd ed.,Fiction|NotFiction,English fiction,,,567961.0,enk,7923690,2,7,7,v.2,2.0,"John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.",,True,John de Lancaster.  A novel
uiuo.ark+=13960=t49p3m240,"Meeke, Mary","Meeke, Mary",d. 1818.,1809,1809,s,1809,    ,"London;Printed at the Minerva Press, for Lane, Newman;1809.",1809,,,,,,77204987.0,enk,8720900,1,4,4,v.2,2.0,Langhton Priory,,True,Langhton Priory
pst.000006711085,"Roche, Regina Maria","Roche, Regina Maria",1764?-1845.,1810,1810,s,1810,    ,London;Newman;1810.,1810,6th ed.,Fiction|UnknownGenre|NotFiction,,,,1398658.0,xx ,7517065,1,21,16,v.2,2.0,The children of the abbey : | a tale.,,True,The children of the abbey : a tale
nyp.33433075840201,Pigault-Lebrun,Pigault-Lebrun,1753-1835.,1810,1810,s,1810,    ,New York;Printed for J. Brannan;1810.,1810,,Fiction,,,PZ3.P622M,4061630.0,nyu,8672006,1,2,2,v. 2,2.0,My Uncle Thomas : | a romance ... | $c: From the French of Pigault Lebrun ...,,True,My Uncle Thomas : a romance
njp.32101069157384,"Madame Cottin, (Sophie)","Madame Cottin, (Sophie)",1770-1807.,1810,1807,s,1810,    ,London;Chapple;1810.,1810,The 2d ed.,NotFiction,,,,43061016.0,enk,8977902,1,3,3,v.4,4.0,Malvina ... | $c: tr. from the French by Miss Gunning ...,,True,Malvina
njp.32101066459882,"Goulburn, Edward","Goulburn, Edward",1787-1868.,1811,1811,s,1811,    ,London;Printed for J. Ebers;1811.,1811,,Fiction,,,,12405713.0,enk,8719864,1,4,4,,,Frederick de Montford: | a novel. | $c: By the author of The pursuits of fashion. | $n: 1,,True,Frederick de Montford: a novel
uiuo.ark+=13960=t0ms4br6q,"Holstein, Anthony Frederick","Holstein, Anthony Frederick",,1811,1811,s,1811,    ,"London;Printed at the Minerva-Press, for A.K. Newmann;1811.",1811,,,,,,77196592.0,enk,8720623,1,3,3,v.2,2.0,"The inhabitants of Earth, or, The follies of woman",,True,"The inhabitants of Earth, or, The follies of woman"
njp.32101072790536,Madame de. C,Madame de. C,,1811,1811,s,1811,    ,London;Printed for Henry Colburn ...;1811.,1811,,Fiction,,,,22974161.0,enk,8724309,2,2,2,vol.1,1.0,"A winter in Paris; or, Memoirs of Madame de C****: / | $c: written by herself. ; In three volumes. | $n: 1",,True,"A winter in Paris; or, Memoirs of Madame de C****:"
mdp.39015063977196,"Stuart, Augusta Amelia","Stuart, Augusta Amelia",,1812,1812,s,1812,    ,London;A. K. Newman and co.;1812.,1812,,Fiction,,,,63587084.0,enk,122186,1,4,4,v.4,4.0,"Cava of Toledo; | or, The Gothic princess. A romance ... | $c: By Augusta Amelia Stuart.",,True,"Cava of Toledo; or, The Gothic princess. A romance"
njp.32101066755073,"Burney, Sarah Harriet","Burney, Sarah Harriet",1772-1844.,1812,1812,s,1812,    ,London;Printed for H.Colburn;1812.,1812,2nd ed.,Fiction|NotFiction,,,,18061352.0,enk,586994,1,13,13,vol.4,4.0,Traits of nature / | $c: by Miss Burney.,,True,Traits of nature
nyp.33433075729909,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1813,1813,s,1813,    ,Poughkeepsie;Printed by Paraclete Potter;1813.,1813,v. 1. Lame Jervas. The will. The Limerick gloves. Out of debt out of danger. The lottery. Rosanna.--v. 2. Murad the unlucky. The manufacturers. The contrast. The grateful Negro. To-morrow.,Juvenile audience|NotFiction|Fiction,English fiction,,,9479697.0,nyu,8664848,1,5,5,v. 2,2.0,Popular tales / | $c: by Maria Edgeworth.,Murad the unlucky. The manufacturers. The contrast. The grateful Negro. To-morrow,True,Murad the unlucky. The manufacturers. The contrast. The grateful Negro. To-morrow
uiuo.ark+=13960=t7qn6n28p,"Kelly, Isabella","Kelly, Isabella",,1813,1813,s,1813,    ,"London;J. Souter, sold by Mr. Mozley;1813.",1813,,,,,,77198506.0,enk,8720736,1,4,4,v.4,4.0,"Jane de Dunstanville, or, Characters as they are",,True,"Jane de Dunstanville, or, Characters as they are"
njp.32101037977533,"Cuthbertson, Catherine","Cuthbertson, Catherine",,1813,1813,s,1813,    ,London;Printed for G. and S. Robinson and Cradock and Joy;1813.,1813,,Fiction,,,,6715787.0,enk,8889024,1,4,4,vol.5,5.0,"Adelaide, or, The countercharm : | a novel ... / | $c: By the author of ""Santo Sebastiano, or, The young protector,"" ""Romance of the Pyrenees,"" and ""The forest of Montalbano"" ...",,True,"Adelaide, or, The countercharm : a novel"
njp.32101068177995,"Hervey, Elizabeth","Hervey, Elizabeth",fl. 1788-1814.,1814,1814,s,1814,    ,London;H. Colburn;1814.,1814,,Fiction,,,PR4786.H45A73,6793342.0,enk,6110081,2,8,8,vol.2,2.0,"Amabel; | or, Memoirs of a woman of fashion. | $c: By Mrs. Hervey ...",,True,"Amabel; or, Memoirs of a woman of fashion"
dul1.ark+=13960=t99604g40,"Hawkins, Laetitia Matilda","Hawkins, Laetitia Matilda",1760-1835.,1814,1814,s,1814,    ,London;printed for F. C. and J. Rivington;1814.,1814,,,,,,52745024.0,enk,6130698,2,4,4,v.2,2.0,Rosanne;,,True,Rosanne;
njp.32101062933468,"West, Jane","West, (Jane), Mrs",1758-1852.,1814,1814,s,1814,    ,"London;Longman, Hurst, Rees, Orme, and Brown;1814.",1814,,Fiction,,,,7127732.0,enk,9406300,1,3,3,v. 4,4.0,"Alicia de Lacy : | an historical romance / | $c: by the author of ""The loyalists,"" &c.",,True,Alicia de Lacy : an historical romance
nyp.33433074919659,"Williams, William","Williams, William",1717-1791.,1815,1791,s,1815,    ,London;J. Murray;1815.,1815,,NotFiction,"Eagles, John|ed|1783-1855",,PZ3.W67666Jo,6254892.0,stk,1023006,3,12,12,v. 2,2.0,"The journal of Llewellin Penrose, a seaman.",,True,"The journal of Llewellin Penrose, a seaman"
nyp.33433067303846,"Mathers, John","Mathers, John",,1815,1815,s,1815,    ,Boston;Printed and published by Wells and Lilly;1815.,1815,,Fiction,English fiction,,,8615484.0,mau,8618412,1,9,7,v. 1,1.0,"The history of Mr. John Decastro and his brother Bat, commonly called Old Crab / | $c: the merry matter written by John Mathers ; the grave by a solid gentleman.",,True,"The history of Mr. John Decastro and his brother Bat, commonly called Old Crab"
uiuo.ark+=13960=t4cn7c75m,Algernon,Algernon,,1815,1815,s,1815,    ,London;J. Johnston;1815.,1815,,,,,,77311428.0,enk,8723003,1,3,3,v.1,1.0,"The royal wanderer, or, The exile of England",,True,"The royal wanderer, or, The exile of England"
uiuo.ark+=13960=t8z89vv9r,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1816,1816,s,1816,    ,Edinburgh;W. Blackwood;London;J. Murray;1816.,1816,,Fiction|NotFiction,Scottish authors|Scotland|Jacobites|English fiction|Fiction|Covenanters,,,2461097.0,stk,2104611,1,26,26,v.4,4.0,Tales of my landlord,,True,Tales of my landlord
nyp.33433075742894,"Sir, Scott, Walter","Scott, Walter, Sir",1771-1832.,1816,1816,s,1816,    ,New York;Van Winkle and Wiley;1816.,1816,,Bibliographies|Fiction|UnknownGenre|NotFiction,Scottish authors|Social life and customs|English fiction,,,37295299.0,nyu,8670091,1,20,4,v. 1,1.0,"The antiquary, | $c: by the author of ""Waverley"" and ""Guy Mannering"" ...",,True,The antiquary
njp.32101038161673,"Opie, Amelia Alderson","Opie, Amelia Alderson",1769-1853.,1816,1816,s,1816,    ,Boston;Wells and Lilly;1816.,1816,,Fiction,,,,9746215.0,mau,8889299,1,9,9,vol.2,2.0,Valentine's eve / | $c: by Mrs. Opie.,,True,Valentine's eve
uc1.b4104602,Mrs. Ross,"Ross, Mrs",d. 1892.,1817,1817,s,1817,    ,London;Printed at the Minerva Press for A. K. Newman;1817.,1817,3rd ed.,Fiction,,,PR5236.R76B3 1817,18056772.0,enk,6155952,1,7,7,v.2,2.0,"The balance of comfort, or, The old maid and married woman : | a novel / | $c: by Mrs. Ross.",,True,"The balance of comfort, or, The old maid and married woman : a novel"
uiuo.ark+=13960=t4pk0nx1d,"Brown, Thomas","Brown, Thomas",,1818,1818,s,1818,    ,"London;Printed for the author [B. Clarke, printer;1818.",1818,,,Fiction|Bath (England),,PZ3.B81805Ba,11640001.0,enk,8718311,1,3,3,v.3,3.0,Bath;,,True,Bath;
njp.32101067631307,"the elder, | pseud. Brown, Thomas","the elder, | pseud. Brown, Thomas",,1818,1818,s,1818,    ,London;Printed for the author;1818.,1818,4th ed.,Fiction,,,,11640001.0,enk,8961293,1,3,3,v.2,2.0,"Bath : | a satirical novel, with portraits / | $c: by Thomas Brown, the Elder.",,True,"Bath : a satirical novel, with portraits"
uiuo.ark+=13960=t89g67z7q,"Mackenzie, Mary Jane","Mackenzie, Mary Jane",,1820,1820,s,1820,    ,London;Cadell;1820.,1820,,Fiction|NotFiction,English fiction,,,13317365.0,enk,6502418,2,10,10,v.1,1.0,"Geraldine; or, Modes of faith and practice",,True,"Geraldine; or, Modes of faith and practice"
uiuo.ark+=13960=t6543bw1s,"Smith, Charlotte","Smith, Charlotte Turner",1749-1806.,1821,1806,s,1821,    ,London;Printed for W. Wright;1821.,1821,,,,,,7071452.0,enk,8722881,1,3,3,v.2,2.0,The republican's mistress;,,True,The republican's mistress;
njp.32101067640746,"Moore, Alicia Radford","Moore, Alicia Radford",,1821,1821,s,1821,    ,"London;Baldwin, Cradock, and Joy;1821.",1821,,Fiction,,,PR5039.M776s,13347522.0,enk,8723263,2,4,4,v.3,3.0,"The sisters: | a novel, in four volumes.",,True,"The sisters: a novel, in four volumes"
njp.32101065704296,"Reed, Andrew","Reed, Andrew",1787-1862.,1821,1821,s,1821,    ,Hartford;O. D. Cooke;1821.,1821,7th ed.,Fiction|NotFiction,Friendship,,,12044030.0,ctu,9246240,1,4,4,vol.1,1.0,"No fiction. | A narrative, founded on recent and interesting facts.",,True,"No fiction. A narrative, founded on recent and interesting facts"
uiuo.ark+=13960=t4mk6z79p,"Roche, Regina Maria","Roche, Regina Maria",1764?-1845.,1823,1823,s,1823,    ,London;Printed for A. K. Newman and Co.;1823.,1823,,,,,,7026424.0,enk,8718484,1,5,5,v.1,1.0,Bridal of Dunamore;,,True,Bridal of Dunamore;
nyp.33433074915020,"Morier, James Justinian","Morier, James Justinian",1780?-1849.,1824,1824,s,1824,    ,Philadelphia;A. Small;1824.,1824,,Bibliographies|Fiction|NotFiction,English fiction,,,37287168.0,pau,8669757,1,25,13,v. 2,2.0,"The adventures of Hajji Baba, of Ispahan ...",,True,"The adventures of Hajji Baba, of Ispahan"
hvd.hwp4r8,"Ward, R. Plumer (Robert Plumer)","Ward, R. Plumer (Robert Plumer)",1765-1846.,1825,1825,s,1825,    ,Philadelphia;E. Littell ...;1825.,1825,,Fiction,,,,6234975.0,pau,9722046,1,15,15,3,3.0,"Tremaine, | or, The man of refinement. In three volumes. ...",,True,"Tremaine, or, The man of refinement. In three volumes"
uc2.ark+=13960=t6057h16c,"Llanos Guti??rrez, Valent?_n","Llanos Guti??rrez, Valent?_n",,1826,1826,s,1826,    ,London;H. Colburn;1826.,1826,,,,,,2494910.0,xx ,6672173,2,2,2,v.1,1.0,Sandoval,,True,Sandoval
wu.89087923348,"Banim, John","Banim, John",1798-1842.,1826,1826,s,1826,    ,London;H. Colburn;1826.,1826,,Fiction,Fiction,Ireland,,17421425.0,enk,8663572,2,6,6,v.2,2.0,"Tales by the O'Hara family : | second series : comprising the Nowlans, and Peter of the castle.",,True,"Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle"
njp.32101067629947,"Mrs. Bray, (Anna Eliza)","Bray, (Anna Eliza), Mrs",1790-1883.,1826,1826,s,1826,    ,"London;Longman, Reese, Orme, Brown and Green;1826.",1826,,NotFiction,,,PR4161.B57D4 1826,13313566.0,enk,8719236,2,4,4,v.2,2.0,"De Foix; or, Sketches of the manners and customs of the fourteenth century. | An historical romance.",,True,"De Foix; or, Sketches of the manners and customs of the fourteenth century. An historical romance"
uiuo.ark+=13960=t39z9dz6w,"Battersby, John","Battersby, John",,1826,1826,s,1826,    ,London;Printed by J. Mallett and sold by J. Wallis;1826.,1826,,,,,,43002513.0,enk,8723696,1,3,3,v.3,3.0,Tell-tale Sophas,,True,Tell-tale Sophas
wu.89101370583,"Smith, Horace","Smith, Horace",1779-1849.,1826,1826,s,1826,    ,London;Henry Colburn;1826.,1826,2nd ed.,Fiction|NotFiction,"Commonwealth and Protectorate, 1649-1660|Fiction|History",,,39225969.0,enk,9187173,1,16,16,v.1,1.0,"Brambletye house : | or, Cavaliers and roundheads : a novel / | $c: by one of the authors of the Rejected addresses.",,True,"Brambletye house : or, Cavaliers and roundheads : a novel"
uc2.ark+=13960=t7jq0zj72,"Burdett, C. D","Burdett, C. D, Mrs",,1827,1827,s,1827,    ,London;H. Colburn;1827.,1827,,Fiction,,,PZ3.B896En2,3455140.0,enk,7685795,2,6,6,v.0001,1.0,English fashionables abroad,,True,English fashionables abroad
uc1.b3327536,"Marquess of, Normanby, Constantine Henry Phipps","Marquess of, Normanby, Constantine Henry Phipps",1797-1863.,1827,1827,s,1827,    ,London;Saunders and Otley;1827.,1827,v. 1. The regicide's family. A week at Tours.--v. 2. The fall of Bern.--v. 3. The German lottery. The Rhine. The castle of the Convent lake. L'envoi.,Fiction,,,PZ3.N789H,13343560.0,enk,7690792,2,2,2,v. 2,2.0,"Historiettes; or, Tales of continental life. | $c: By the author of ""The English in Italy ... """,The fall of Bern,True,The fall of Bern
uiuo.ark+=13960=t5w66tq0x,"Eaton, Charlotte A","Eaton, Charlotte A",,1827,1827,s,1827,    ,Edinburgh;W. Blackwood;London;T. Cadell;1827.,1827,,,Rome (Italy)|Italy|Fiction|1789-1815|History,,PZ3.E144V,6725727.0,stk,8724125,1,3,3,v.3,3.0,Vittoria Colonna,,True,Vittoria Colonna
njp.32101068972866,"Lauder, Thomas Dick, Sir","Lauder, Thomas Dick, Sir",1784-1848.,1827,1827,s,1827,    ,Edinburgh|Printed for Cadell|1827.,1827,2d ed.,Fiction,,,|1,7827782.0,stk,100011269,1,2,2,vol.2,2.0,"The Wolfe of Badenoch : | a historical romance of the fourteenth century / | $c: by the author of ""Lochandhu"" ....",,True,The Wolfe of Badenoch : a historical romance of the fourteenth century
uc2.ark+=13960=t8sb40478,"Banim, John","Banim, John",1798-1842.,1828,1828,s,1828,    ,London;H. Colburn;1828.,1828,,Bibliographies|Fiction,Ireland|Fiction|British|Fiction|History|Social life and customs|19th century,,PZ3.B225A,13302121.0,enk,7685121,3,13,9,v.1,1.0,The Anglo-Irish of the nineteenth century,,True,The Anglo-Irish of the nineteenth century
uc2.ark+=13960=t3cz3724j,"Normanby, Constantine Henry Phipps","Normanby, Constantine Henry Phipps",,1828,1828,s,1828,    ,London;H. Colburn;1828.,1828,,,,,PZ3.N788Ye2,2306938.0,enk,7690793,2,2,2,v.1,1.0,Yes and no,,True,Yes and no
njp.32101067707628,"Beazley, Samuel","Beazley, Samuel",1786-1851.,1828,1828,s,1828,    ,London;H. Colburn;1828.,1828,,Fiction|NotFiction,"Lytton, Edward Bulwer Lytton|1803-1873|supposed author|Baron",,PZ3.B386Ro2,5053632.0,enk,8964910,1,6,6,vol.1,1.0,The roué.,,True,The roué
uc1.b3322526,"Gleig, G. R. (George Robert)","Gleig, G. R. (George Robert)",1796-1888.,1829,1829,s,1829,    ,London;H. Colburn;1829.,1829,,Fiction|NotBiographical|NotFiction,"Revolution, 1775-1783|Napoleonic Wars, 1800-1815|History|English fiction|Fiction",,PZ3.G483Ch 2,1102816.0,enk,779657,2,8,8,v.1,1.0,"The Chelsea pensioners / | $c: by the Author of ""The subaltern"".",,True,The Chelsea pensioners
uiuo.ark+=13960=t1hh6x30p,Gore,Gore,,1829,1829,s,1829,    ,London;H. Colburn;1829.,1829,,,,,PZ3.G66Ro2PR4725.G5,10247135.0,enk,8722976,1,2,2,v.1,1.0,Romances of real life,,True,Romances of real life
uiuo.ark+=13960=t99605q13,,,,1829,1829,s,1829,    ,"London;H. Colburn, New Burlington Street;1829.",1829,,,823SCH65,,,11843296.0,enk,8723076,2,2,2,v.3,3.0,The School of fashion,,True,The School of fashion
hvd.32044012556544,"Leggett, William","Leggett, William",1801-1839.,1829,1829,s,1829,    ,New York;Harper;1829.,1829,"The squatter.-- A burial at sea.--The Stanton ghose; or, Mistake of the press.--The steel clasp.--The lie of benevolence.--The rifle.--Near-sighted.--A watch in the main-top.--White hands; or, Not quite in character.--The mistake.",Fiction|NotFiction,,,,6822453.0,miu,9717441,1,3,3,,,Tales and sketches. | $c: By a country schoolmaster.,,True,Tales and sketches
nyp.33433074964598,"Banim, John","Banim, John",1798-1842.,1830,1830,s,1830,    ,New York;Printed by J. & J. Harper;1830.,1830,,Fiction,,,PZ3.B225D,8270233.0,nyu,282010,1,9,9,v. 2,2.0,"The denounced. | $c: By the authors of ""Tales by the O'Hara family"".",,True,The denounced
mdp.39015031644431,"Hook, Theodore Edward","Hook, Theodore Edward",1788-1841.,1830,1830,s,1830,    ,London;H. Colburn and R. Bentley;1830.,1830,,Fiction,English fiction,,PZ3.H7037M 1b,4329310.0,enk,449109,2,10,10,v.3,3.0,"Maxwell. | $c: By the author of ""Sayings and doings.""",,True,Maxwell
uc1.b3321261,"Cooper, James Fenimore","Cooper, James Fenimore",1789-1851.,1830,1830,s,1830,    ,London;H. Colburn and R. Bentley;1830.,1830,,Bibliographies|Fiction|NotFiction,Passenger ships|Adventure stories|American fiction|Sea stories|Love stories|Fiction,,PS1418.W3 1830,2393401.0,enk,7914875,1,17,10,v. 2,2.0,"The water witch; | or, The skimmer of the seas.  A tale. | $c: By the author of ""The borderers,"" ""The prairie,"" etc., etc. ...",,True,"The water witch; or, The skimmer of the seas.  A tale"
