docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
njp.32101067647394,"James, G. P. R. (George Payne Rainsford)",,,,,1801?-1860.,1845,,1845,10,9,v.1,"London;Smith, Elder and Co.;1845.",Fiction,,,"Arrah Neil; or, Times of old"
uiuo.ark+=13960=t1zc8fb2d,"Henningsen, C. F",,,,,,1845,,1845,9,9,v.1,London;H. Colburn;1845.,,Peasantry|Fiction|Russia,,The white slave;
uiuo.ark+=13960=t8x92qs9k,"Marsh-Caldwell, Anne",,,,,1791-1874.,1846,,1846,5,5,v.3,London;H. Colburn;1846.,Fiction,English fiction,,Emilia Wyndham
nyp.33433082469630,"Mitchell, Donald Grant",,,,,1822-1908.,1847,,1847,6,6,,New York;Harper & brothers;1847.,NotFiction,Description and travel,,"Fresh gleanings; or, A new sheaf from the old fields of continental Europe"
nyp.33433074854195,"Fullerton, Georgiana Charlotte Seveson-Gower, Lady",,,,,1812-1885.,1847,,1847,5,5,v. 2,Leipzig;Bernh. Tauchnitz Jun.;1847.,Fiction,English fiction,,Grantley Manor ; a tale
nyp.33433074930037,"Brontë, Anne",,,,,1820-1849.,1848,,1848,23,2,,New York;Harper & brothers;1848.,Domestic fiction|ContainsBiogMaterial|NotFiction|Bibliographies|Fiction|UnknownGenre,Married women|19th century|English fiction|England|Fiction|Social life and customs|Fiction|Landlord and tenant|Social life and customs|Alcoholics|Alcoholism,,The tenant of Wildfell Hall
njp.32101068596566,"Cooper, James Fenimore",,,,,1789-1851.,1848,,1848,7,3,,London;Routledge;1848,Fiction|NotFiction,War of 1812|Michigan|Indians of North America|Fiction|Fiction|History,,"The oak openings; or, The bee-hunter"
nyp.33433075765283,"Sinclair, Catherine",,,,,1800-1864.,1850,,1850,9,8,,New York;Dewitt & Davenport;185-?,Fiction,Scottish authors|English fiction,,"Beatrice; or, The unknown relatives"
nyp.33433082229604,"Lytton, Edward Bulwer Lytton, Baron",,,,,1803-1873.,1851,,1851,31,20,v. 2,Leipzig;B. Tauchnitz;1851-52.,Fiction|UnknownGenre|NotFiction,English fiction,,"My novel : or, Varieties in English life"
uiuo.ark+=13960=t50g48273,"Paton, A. A",,,,,,1851,,1851,6,6,v.3,London;Bentley;1851.,,,,The mamelukes
nyp.33433074945993,"Aguilar, Grace",,,,,1816-1847.,1852,,1847,3,3,,New York;D. Appleton;1852.,Fiction|NotFiction,,,Woman's friendship; a story of domestic life
uiuo.ark+=13960=t89g6700s,"Nunn, Lorenzo N",,,,,,1852,,1852,3,3,v.1,London;T. Cautley Newby;1852.,,,,The militia major
uc2.ark+=13960=t08w3hh7p,"Paul, Howard",,,,,1835-1905.,1853,,1853,2,2,,New York;Garrett & co.;1853.,,,,Dashes of American humor
uc1.b3325615,"Marsh-Caldwell, Anne",,,,,1791-1874.,1854,,1854,10,10,v. 2,London;Hurst and Blackett;1854.,Fiction,English fiction,,Aubrey
uc2.ark+=13960=t91837s15,"Otis, Harrison Gray, Mrs",,,,,1796-1873.,1854,,1854,2,2,,"Boston;Ticknor, Reed, and Fields;1854.",,,,The Barclays of Boston
mdp.39015063979366,"freifrau von, Tautphœus, Jemima (Montgomery)",,,,,1807-1893.,1858,,1858,7,2,,Leipzig;B. Tauchnitz;1858.,Fiction,,,Quits; a novel
uc1.b3325371,"Lowell, Robert",,,,,1816-1891.,1858,,1858,4,4,v. 2,"Boston;Phillips, Sampson;1858.",NotFiction,,,The new priest in Conception Bay
uiuo.ark+=13960=t3jw8wd54,"Lytton, Rosina Bulwer Lytton, Baroness",,,,,,1858,,1858,3,3,v.2,London;C.J. Skeet;1858.,,,,"The world and his wife, or, A person of consequence"
uc2.ark+=13960=t7sn04f3b,"Doesticks, Q. K. Philander",,,,,1831-1875.,1859,,1859,2,2,,New York;Rudd & Carleton;1859.,,Fortune-telling,,The witches of New York
uc2.ark+=13960=t0vq2v64h,"Ferry, Gabriel",,,,,1809-1852.,1860,,1852,6,6,v.3,London;Hurst and Blackett;1860.,,,,The wood-rangers
uc1.b3579182,"Lever, Charles James",,,,,1806-1872.,1864,,1864,4,2,v.1-2,London;Chapman and Hall;1864.,Fiction|NotFiction,,,A day's ride: a life's romance
uiuo.ark+=13960=t0jt0c18w,"Dickens, Charles",,,,,1812-1870.,1864,,1864,40,16,v.3,"New York;J. Bradburn, 1864-65.",Satire|ContainsBiogMaterial|NotFiction|Bibliographies|Love stories|Fiction,"Dickens, Charles|Inheritance and succession|Fiction|London (England)|Poor families|Deception|Social classes|1812-1870",,Our mutual friend
njp.32101072041773,"Neil, Ross",,,,,1840?-1888.,1864,,1864,3,3,vol.2,London;Tinsley Brothers;1864.,Fiction,,,"Abbot's Cleve, or, Can it be proved? : a novel"
uiuo.ark+=13960=t3cz3vk37,"Tabor, Eliza",,,,,,1867,,1867,3,3,v.3,London;Hurst and Blackett;1867.,,,,Alec's bride
uiuo.ark+=13960=t7rn3q28p,"Braddon, M. E. (Mary Elizabeth)",,,,,1835-1915.,1868,,1868,5,5,v.1,"London;Ward, Lock, and Tyler;1868.",NotFiction,,,Dead-sea fruit
uc2.ark+=13960=t13n25f63,"Kingsley, Henry",,,,,1830-1876.,1871,,1871,4,4,v.2,London;Tinsley Bros.;1871.,,,,Old Margaret
uiuo.ark+=13960=t6j10q98b,"Walmsley, Hugh Mulleneux",,,,,,1871,,1871,3,3,v.1,London;R. Bentley;1871.,,,,The life guardsman
uiuo.ark+=13960=t2t44bz9q,"Walmsley, Hugh Mulleneux",,,,,,1871,,1871,3,3,v.3,London;R. Bentley;1871.,,,,The life guardsman
uiuo.ark+=13960=t24b3d004,"Collins, Wilkie",,,,,1824-1889.,1872,,1872,4,3,v.3,London;R. Bentley and son;1872.,NotFiction,,,Poor Miss Finch
nnc1.0113374273,"Collins, Wilkie",,,,,1824-1889.,1873,,1873,5,5,v.29,New York|Harper|1873]-,NotFiction,,,[Novels
njp.32101074878412,"Clarke, Mary Cowden, Mrs",,,,,1809-1898.,1873,,1873,10,5,,New York;G. P. Putnam's Sons;1873.,Fiction|UnknownGenre|NotFiction,"Women|Fiction|Characters|In literature|1564-1616|Adaptations|Shakespeare, William",,"The girlhood of Shakespeare's heroines, in a series of tales"
nyp.33433074849310,"Alexander, Mrs",,,,,1825-1902.,1875,,1875,2,2,,New York;H. Holt and Company;1875.,Fiction,,,Ralph Wilton's weird; a novel
uiuo.ark+=13960=t63491f4b,"Garvice, Charles",,,,,d. 1920.,1875,,1875,3,3,v.2,London;A. Smith;1875.,,,,Maurice Durant
nyp.33433076092190,"Eliot, George",,,,,1819-1880.,1876,,1876,36,26,"v. 7 (Middlemarch, no. 2)",New York;Harper;1876.,Autobiography|NotFiction|Pastoral fiction|Fiction|UnknownGenre,"social life and customs|English literature|England|Fiction|Social life and customs|Fiction|Eliot, George|19th century|1819-1880",,Middlemarch
uc2.ark+=13960=t0cv4d859,"Harland, Marion",,,,,1830-1922.,1876,,1876,2,2,,New York;G. W. Carleton;1876.,,,,My little love
uc2.ark+=13960=t3xs5q555,"Trollope, Frances Eleanor",,,,,,1876,,1876,3,3,v.3,London;Chapman and Hall;1876.,,,,A charming fellow
uiuo.ark+=13960=t3708nx0s,"MacDonald, George",,,,,1824-1905.,1876,,1876,4,3,v.3,London;Henry S. King;1876.,Fiction,"History|Scottish fiction|Civil War, 1642-1649|Fiction|19th century|Religious fiction",,St. George and St. Michael
uiuo.ark+=13960=t3nw0444v,"Shearer, James",,,,,,1877,,1877,3,3,v.3,London;Tinsley Brothers;1877.,,,,Prinkle and his friends. A novel
wu.89099759854,"Howells, William Dean",,,,,1837-1920.,1881,,1881,12,11,,"Boston;New York;Houghton, Mifflin and company;c1881.",Fiction|NotFiction,Manners and customs|Fiction|American fiction,,A fearful responsibility : and other stories
uiuo.ark+=13960=t3gx4zm7t,Randolph,,,,,,1882,,1882,3,3,v.2,London;Hurst and Blackette;1882.,,,,Iris
nyp.33433074895842,"Marks, Mary A. M",,,,,,1883,,1883,3,2,v. 1,London;Macmillan;1883?,Fiction,"Revolution, 1775-1783|1741-1801|Fiction|Arnold, Benedict|History",,A great treason; a story of the war of independence
nc01.ark+=13960=t15m72s8g,"Braddon, M. E. (Mary Elizabeth)",,,,,1835-1915.,1883,,1883,2,2,,Leipzig;B. Tauchnitz;1883.,,,,Flower and weed
njp.32101067707412,"Blackmore, R. D. (Richard Dooddridge)",,,,,1825-1900.,1884,,1884,12,12,vol.2,Leipzig;Tauchnitz;1884.,Fiction,Fiction|Satire|Social movements,,"The remarkable history of Sir Thomas Upmore, bart., M. P., formerly known as ""Tommy Upmore"""
njp.32101063877326,Moira,,,,,,1884,,1884,3,3,v. 1,London;Remington;1884.,Fiction,,,Philip Graham : a subject of Queen Mab
mdp.39015063942869,"Flagg, E. E. (Elizabeth E.)",,,,,,1885,,1885,2,2,,Chicago;National Christian association;1885.,NotFiction,,,"Between two opinions; or, The question of the hour"
uc2.ark+=13960=t0vq2sn8f,"Henty, G. A. (George Alfred)",,,,,1832-1902.,1885,,1885,11,11,,"London;Blackie & Son, limited;1885",Juvenile audience|Novel|Fiction,"Alfred, 871-899|Great Britain|King of England|849-899|Alfred|History|Juvenile fiction",,The dragon and the raven
coo.31924065002358,"Yonge, Charlotte M. (Charlotte Mary)",,,,,1823-1901.,1885,,1885,7,7,v.2,Leipzig;B. Tauchnitz;1885.,Fiction|NotFiction,823Y8TW,,The two sides of the shield
njp.32101067630226,"Boyle, Frederick",,,,,b. 1841.,1885,,1885,6,6,v.2,London;Richard Bentley and Son;1885.,Fiction,,,A good hater
nyp.33433082294657,"James, Henry",,,,,1843-1916.,1886,,1886,22,8,,London;New York;Macmillan;1886.,Bookplates (Provenance)|NN-BGC|NotFiction|Presentation inscriptions (Provenance)|Fiction|Ink stamps (Provenance)|UnknownGenre,,,The Princess Casamassima; a novel
pst.000005325719,"Scott, Hugh Stowell",,,,,1862-1903.,1888,,1888,2,2,v.1,London;r. Bentey;1888.,NotFiction,,,The phantom future : a novel
uiuo.ark+=13960=t4vh66t48,"Wood, Ellen",,,,,1814-1887.,1888,,1887,8,8,v.3,London;R. Bentley;1888.,Fiction,,,The story of Charles Strange
njp.32101058274091,"Peirce, B. K. (Bradford Kinney)",,,,,1819-1889.,1889,,1889,2,2,,New York;Hunt & Eaton;Cincinnati;Cranston & Stowe;1889.,NotFiction,"1785-1851|Audubon, John James",,"Audubon's adventures; or, Life in the woods"
nyp.33433075861504,"Yonge, Charlotte M. (Charlotte Mary)",,,,,1823-1901.,1889,,1889,2,2,,London;Macmillan;1889.,Fiction|NotFiction,,,"A reputed changeling : or, Three seventh years two centuries ago"
nnc1.cu11651474,"Harte, Bret",,,,,1836-1902.,1889,,1889,9,7,v.5,New York;Sully and Kleinteich;c1889-1903,Fiction|NotFiction,,,Colonel Starbottle's client and some other people
uc2.ark+=13960=t6736q45t,"Gautier, Théophile",,,,,,1890,,1890,14,10,,London;Published for the Trade;189-?,Fiction|NotFiction,,,Mademoiselle de Maupin
uiuo.ark+=13960=t9v12bx9q,"Colvill, Helen Hester",,,,,,1890,,1890,3,3,v.3,London;R. Bentley;1890.,,,,Mr. Bryant's mistake
nyp.33433076075898,"Lummis, Charles Fletcher",,,,,1859-1928.,1891,,1891,4,2,,New York;C. Scribner's sons;1916 [1891,Fiction|NotFiction,Fiction,,"A New Mexico David, and other stories and sketches of the Southwest"
uiuo.ark+=13960=t4wh2v25j,"Belgrave, Dalrymple J",,,,,,1891,,1891,2,2,v.1,London;Chapman and Hall;1891.,,,,Jack Warleigh
uc2.ark+=13960=t9m32s75q,"Kipling, Rudyard",,,,,1865-1936.,1892,,1892,4,4,,London;W. Heinemann;1892.,NotFiction,,,The naulahka;
nyp.33433074811682,"Deland, Margaret Wade Campbell",,,,,1857-1945.,1893,,1893,3,2,,"Boston;New York;Houghton, Mifflin and Company;1893.",Fiction,Fiction|Social life and customs|19th century,,"Mr. Tommy Dove, and other stories"
nyp.33433074866611,"Kipling, Rudyard",,,,,1865-1936.,1893,,1893,23,20,,"New York;Doubleday, Page;1908;Appleton;c1893",English fiction|NotFiction|Fiction|UnknownGenre,,,Many inventions
uc1.b3324209,"Huth, Alfred Henry",,,,,1850-1910.,1894,,1894,2,2,,"London;New York;Longmans, Green, and co.;1894.",Fiction,,,"A true relation of the travels and perilous adventures of Mathew Dudgeon, gentleman: wherein is truly set down the manner of his taking, the long time of his slavery in Algiers, and means of his delivery"
nnc1.0050796232,"Kingsley, Henry",,,,,1830-1876.,1894,,1876,3,3,v.6,"London;Ward, Lock and Bowden;1894-96.",Fiction|NotFiction,English fiction,,Austin Elliot and the Harveys
uc2.ark+=13960=t71v5kh28,"Francis, John Cyril",,,,,1856-1894.,1895,,1894,2,2,,London;R. H. Porter;1895.,,Somaliland|Description and travel|Horn of Africa|Hunting,,Three months' leave in Somali Land
uc1.b261458,"Canton, William",,,,,1845-1926.,1896,,1896,2,2,,New York;Stone & Kimball;1896.,,,,The invisible playmate
uc2.ark+=13960=t9p26w01p,"Besant, Walter, Sir",,,,,1836-1901.,1896,,1896,5,5,v.1,London;Chatto & Windus;1896.,,Marital conflict|America|Fiction|Asylums|Satire|Religion,,The city of refuge
nyp.33433082364617,"Byron-Curtiss, A. L. (Arthur Lester)",,,,,b. 1871.,1897,,1897,2,2,,"Boonville, N.Y.;The Willard Press;1912, [c1897].",Biography|NotFiction,"Foster, Nathaniel|Frontier and pioneer life|New York (State)|History|1767?-1840|Adirondack Mountains",,The life and adventures of Nat Foster : trapper and hunter of the Adirondacks
uc1.$b358697,"Boothby, Guy Newell",,,,,1867-1905.,1898,,1898,2,2,,"London ; New York;Ward, Lock;1898.",Fiction,,,The lust of hate
uc2.ark+=13960=t4mk68r8n,"Mackail, J. W. (John William)",,,,,1859-1945.,1901,,1901,3,3,,"London, New York, Bombay;Longmans, Green;1901.",,History of Biblical events|Bible. N.T|Legends,,Biblia innocentium; part second
coo.31924064975323,"Gerard, E. (Emily)",,,,,1849-1905.,1901,,1901,2,2,v.2,Leipzig;B. Tauchnitz;1901.,NotFiction,,,"The extermination of love, a fragmentary study in erotics"
nyp.33433074923115,"Le Gallienne, Richard",,,,,1866-1947.,1902,,1902,4,4,,"New York;London;Harper & Brothers;1905, c1902.",Fiction,,,An old country house
uc2.ark+=13960=t81j9qk9w,"Turgenev, Ivan Sergi︠e︡evích",,,,,1818-1883.,1903,,1883,6,6,v.13,New York;C. Scribner's sons;1903-04.,UnknownGenre|NotFiction,,,"Phantoms, and other stories"
uc1.b3581514,"MacGrath, Harold",,,,,1871-1932.,1904,,1904,5,4,,Indianapolis;The Bobbs-Merrill company;1904,Fiction|NotFiction,,,The man on the box
uc2.ark+=13960=t7tm79n46,"Kipling, Rudyard",,,,,1865-1936.,1906,,1906,7,6,,"Garden City, N.Y.;Doubleday, Page;1919, c1906.",Fiction|NotFiction,"Short stories, English|Juvenile fiction",,Puck of Pook's Hill
uc1.31158013276653,"McNaught, Rosamond (Livingstone), Mrs",,,,,,1906,,1906,4,3,,Philadelphia;The Penn publishing company;1911.,NotFiction,"Christmas|Recitations|Exercises, recitations, etc|Literary collections",,"Christmas selections, for readings and recitations"
uc2.ark+=13960=t7gq6v57j,"Benson, Arthur Christopher",,,,,1862-1925.,1907,,1907,5,5,,New York and London;G. Putnam's Sons;1907.,Fiction|NotFiction,,,Beside still waters
coo.31924060446899,"Bagot, Richard",,,,,1860-1921.,1907,,1907,2,2,v.2,Leipzig;B. Tauchnitz;1907.,NotFiction,,,Temptation
uc2.ark+=13960=t1cj8961x,"Davis, Charles Belmont",,,,,1866-1926.,1908,,1908,3,3,,New York;C. Scribner's son;1908.,,,,The stage door
uc2.ark+=13960=t2697062m,"Klette, C. H. B. (Charles Herman Bruno)",,,,,,1908,,1908,2,2,,New York;Cochrane;1909 [c1908,,,,The lost mine of the Mono;
nyp.33433074865746,"James, Winifred Lewellin",,,,,,1910,,1910,3,3,,Boston;New York;Houghton Mifflin company;1910.,NotFiction,,,Letters to my son
uc1.b4382838,"Henry, O",,,,,1862-1910.,1910,,1910,13,12,,"Garden City, N.Y.;Doubleday, Doran & Co. for Review of Reviews;c1910.",Fiction|UnknownGenre|NotFiction,,,Whirligigs
uc1.b3581548,"Mitchell, John Ames",,,,,1845-1918.,1910,,1910,2,2,,New York;Life Publishing Company;1910.,Fiction,,,"Dr Thorne's idea. Originally published as ""Gloria victis"""
mdp.39015031225173,"Bennett, Arnold",,,,,1867-1931.,1911,,1911,3,3,,New York;George H. Doran company;1911,Fiction,,,A man from the North
uc2.ark+=13960=t05x2cn2f,"Hutchinson, A. S. M. (Arthur Stuart-Menteth)",,,,,1880-1971.,1912,,1912,4,4,,"Boston;Little, Brown;1922, c1912.",Fiction|NotFiction,,,The happy warrior
mdp.39015004974807,Saki,,,,,1870-1916.,1914,,1914,4,3,,London;John Lane;New York;John Lane Company;1914.,Fiction,,,When William came; a story of London under the Hohenzollerns
mdp.39015063737681,"Austin, Mary Hunter",,,,,1868-1934.,1915,,1915,3,3,,Boston;New York;Houghton Mifflin company;1915.,NotFiction,Drama|Indians of North America,,"The arrow-maker, a drama in three acts"
uc2.ark+=13960=t9377f26f,"Doty, Madeleine Z. (Madeleine Zabriskie)",,,,,1877-1963.,1916,,1916,2,2,,New York;The Century co.;1916.,,Reformatories|United States|Prisons|Auburn Correctional Facility,,Society's misfits
nyp.33433074812243,"Churchill, Winston, Sir",,,,,1874-1965.,1917,,1917,4,4,,New York;The Macmillan company;1917.,Fiction|NotFiction,,,The dwelling-place of light
njp.32101054938426,,,,,,,1917,,1917,2,2,v. 20,New York;P. F. Collier & son;c1917,NotFiction,,,The Harvard classics shelf of fiction
nyp.33433076038839,"Bower, B. M, Mrs",,,,,1874-1940.,1917,,1917,2,2,,"Boston;Little, Brown;1917.",Fiction,,,"Starr, of the desert"
mdp.39015027190902,"Blasco Ibáñez, Vicente",,,,,1867-1928.,1918,,1918,8,8,,New York;E. P. Dutton & company;1918.,Fiction|UnknownGenre,"World War, 1914-1918|Fiction",,The four horsemen of the Apocalypse. (Los cuatro jinetes del Apocalipsis)
uc2.ark+=13960=t1pg1ht1x,"Kauffman, Reginald Wright",,,,,1877-1959.,1919,,1919,2,2,,New York;The Macaulay company;1919.,,,,The azure rose ;
uc2.ark+=13960=t4kk9mx8v,"Oppenheim, E. Phillips (Edward Phillips)",,,,,1866-1946.,1920,,1920,4,3,,"Boston;Little, Brown, & company;1920.",Fiction,,,The great impersonation
nyp.33433082302617,"Fitzhugh, Percy Keese",,,,,1876-1950.,1920,,1920,2,2,,New York;Grosset & Dunlap;c1920.,UnknownGenre,,,Roy Blakeley's silver fox patrol
nyp.33433074861802,"Cabell, James Branch",,,,,1879-1958.,1921,,1921,4,4,,New York;R. M. McBride;1921.,Fiction|NotFiction,,,Figures of earth; a comedy of appearances
