	docid	author	realname	pseudonym	gender	nationality	authordate	inferreddate	firstpub	latestcomp	allcopiesofwork	copiesin25yrs	enumcron	imprint	genres	subjects	category	shorttitle
11	njp.32101068170230	Hosmer, Margaret	Hosmer, Margaret|Dunalp, Julia	A Pair of Hands	f	us	1830-1897.|	1870		1870	1	1		Philadelphia;Porter & Coa	NotFiction		juvenile	Under the holly. A book for girls
12	inu.30000107397808	Gallagher, Tess			f	us	1943-	2009		2009	1	1		Minneapolis, Minn.|Graywo	Short stories	Manners and customs|Ficti	shortstories	The man from Kinvara : selected stories
13	uc1.b3773955	HernÃ¡ndez, RamÃ³n	Hernández, Ramón		m	es	1935- 	1983		1983	1	1		Lincoln, Neb.|Society of 	Fiction		novel	Something is happening here
14	mdp.39015011607697	Brown, Marshall					1852-	1882		1879	2	2		Chicago;S.C. Griggs and C	NotFiction	Wit and humor	nonfic	Wit and humor. A choice collection
15	uc1.$b299828	Clewes, Winston			m	uk	1906-1957	1949		1948	1	1		New York|A. A. Knopf|1949	NotFiction		novel	Journey into spring
16	njp.32101068164589	Jones, J. B. (John Beauchamp)			m	us	1810-1866.	1861		1861	1	1		Philadelphia;T. B. Peters	NotFiction		novel	Secession, coercion, and civil war. The story of 1861
17	mdp.39076002790082	Hayes, Clair W. (Clair Wallace)			f		b. 1887.	1915		1915	1	1		New York;A.L. Burt;c1915.	Juvenile audience|NotFict	Trench warfare|World War,	novel	The boy allies in the trenches, or, Midst shot and shell along the Aisne
18	uva.x004828348	Chapman, Helen C			f			1881		1881	1	1		Philadelphia;Presbyterian	NotFiction	Church history|Reformatio	novel	Those dark days : or, the diaries of two Netherland girls
19	uc2.ark+=13960=t3901zw01	Abbot, Anne W			f	us	1808-1908.	1853		1853	3	3		Cambridge [Mass.;J. Bartl			shortstories|poetry	Autumn leaves
20	nyp.33433082272711	Collins, Wilkie			m	uk	1824-1889.	1873	1856.0	1873	3	3		New York;Harper & brother	Fiction		shortstories	After dark, and other stories;
21	uc2.ark+=13960=t7tm7472s	Lytton, Edward Bulwer Lytton, Baron	Bulwer-Lytton, Edward		m	uk	1803-1873.	1859	1849.0	1859	1	1	v.01	Edinburgh;London;W. Black			novel	The Caxtons: A Family Picture
22	uva.x030557421	Henry, O	Porter, William Sydney	Henry, O	m	us	1862-1910.	1917		1910	1	1	v.6	Garden City, N. Y.;Double	NotFiction		reprint	Works
23	mdp.39015062237170	Mme.] [Pisani, Marianna	Pissani, Marianna		f			1836		1836	4	4		London;R. Bentley;1836.	Fiction		novel	Vandeleur; or, Animal magnetism. A novel
24	inu.32000011239359	Kingsford, A. R. (Alfred Reginald)			m	uk	1891-1987.	1930		1930	1	1		London|J. Hamilton|1930	NotFiction	World War, 1914-1918|Aeri	nonfic	Night raiders of the air : being the experiences of a night flying pilot, who raided Hunland on many dark nights during the war
25	uc1.b3861627	Brackett, Leigh			f	us	1915-1978.	1974	1955.0	1974	1	1		New York|Ballantine Books	UnknownGenre	Science fiction, American	novel	The long tomorrow
26	uc2.ark+=13960=t8hd7pj59	Hart, William S			m	us	1864-1946.	1921		1921	1	1		New York;Grosset & Dunlap			novel	Injun and Whitey strike out for themselves
27	mdp.39015002742560	Rooke, Daphne			f	sa	1914-2009.	1957		1957	2	2		Boston|Houghton Mifflin C	Fiction		novel	Wizards' country
28	nyp.33433067303937	Roche, Regina Maria			f		1764-1845.	1807		1807	2	2	v. 1	New-York;P. Burtsell;1807	Fiction	English fiction	novel	The discarded son; or, Haunt of the banditti
29	mdp.39015066058044	Von Arnim, Elizabeth			f		1866-1941.	1934		1934	1	1		Garden City, N. Y.|Double	UnknownGenre		novel	The jasmine farm
30	hvd.32044088987615			The Author				1837		1837	1	1		Boston;Otis, Broaders & C	Fiction	Temperance	novel	Three experiments in drinking, or, Three eras in the life of an inebriate
31	uc1.$b56441	Crichton, Kyle			m	us	1896-1960.	1944		1944	1	1		New York|Charles Scribner	Fiction		novel	The proud people : a novel
32	uc1.32106002151998	Vidal, Gore			m	us	1925-2012.	1974		1974	2	2		New York|Random House|197	Fiction	Fiction|Motion picture in	novel	Myron; a novel
33	uc1.$b56342	Caine, William Ralph Hall			m		1869-1939.	1926		1926	1	1		London|Palmer|1926	NotFiction	Folklore|Celts	shortstories	Annals of the Magic Isle
34	inu.39000005830067							1957		1957	1	1	v.1	Peking|Foreign Languages 	NotFiction	Social life and customs|T	shortstories	Folk tales from China; 1st series
35	nyp.33433075843130	Zola, Ã‰mile	Zola, Émile 		m	fr	1840-1902.	1880	1876.0	1880	1	1		Philadelphia;T. B. Peters	Fiction		novel	Clorinda : or, The rise and reign of his excellency Eugene Rougon. The man of progress. Three times minister
36	mdp.39015078560276	[Sutcliffe, Thomas]					1790?-1849.	1839		1839	1	1		Manchester [Eng.;Printed 	NotFiction	History|Juan Fernendez (I	nonfic	The earthquake of Juan Fernandez, as it occurred in the year 1835
37	mdp.39015063961513	Winter, John Strange	Stannard, H.E.V.	Winter, John Strange	f	uk	1856-1911.	1892		1892	1	1		London;Chatto & Windus;18	Fiction		novel	A soldier's children
38	nyp.33433074863162	Hersey, Clara Sherman			f	us		1910		1910	1	1		Boston;G.H. Ellis Co.;191	NotFiction		shortstories	Shell and kernel; a neighborhood story of country life in New England
39	uc2.ark+=13960=t93778s3b	Eyre, Archibald			m			1903		1903	1	1		New York;London;The Smart			novel	The trifler;
40	hvd.hwadaj	Scott, Walter, Sir			m	uk	1771-1832.	1829	1816.0	1829	1	1	v.5	Edinburgh;Cadell & compan	Fiction		novel	The Antiquary
41	uc1.$b101733	Ehrlich, Max			m	us	1909-1983.	1955		1955	1	1		New York|Harper|1955	Fiction		novel	First train to Babylon
42	uc1.32106013836702					au		1993		1993	1	1		Port Melbourne, Vic.|Mine	Fiction	Fiction|Social life and c	shortstories	Amnesty
43	mdp.39015049665212	Kotzias, Alexandros			m	gr	1926-1992.	1991	1987.0	1991	1	1		Athens, Greece|Kedros|c19	Fiction		novel	The jaguar
44	mdp.39015016424114	Godwin, William			m	uk	1756-1836.	1816	1794.0	1816	3	3	v.1	London;Printed for W. Sim	Fiction	English fiction	novel	Things as they are, or, The adventures of Caleb Williams
45	uiuo.ark+=13960=t4xh05m31	O'Keeffe, Adelaide			f		1776-1865.	1819		1819	3	3	v.2	London;Printed by Strahan			novel	Dudley
46	nyp.33433076094485	Klein, Charles					1867-1915.	1914		1914	1	1		New York;G.W. Dillingham 	NotFiction		nonfic	The money makers : a story of today
47	mdp.39015063602497	Warren, Samuel			m	uk	1807-1877.	1855		1855	1	1	v.2	Edinburgh;London;Wm. Blac	Bibliographies|NotFiction	History|Law	nonfic	The mystery of murder, and its defence. Modern state trials. The martyr patriots. Speculators among the stars. A few personal recollections of Christopher North
48	mdp.39015024290028							1977		1977	1	1	v.1	Kuala Lumpur, Malaysia|De	Fiction	Short stories, Malay|Shor	shortstories	Modern Malaysian stories
49	uiuo.ark+=13960=t63496n5k	Moore, George			m			1801		1801	3	3	v.1	London;Printed for G.G. a			novel	Grasville Abbey
50	nyp.33433074851886	Dreiser, Theodore			m	us	1871-1945.	1914		1914	7	5		New York;John Lane Co.;Lo	Fiction|UnknownGenre|NotF	Fiction|Capitalists and f	novel	The Titan
51	uc1.$b301043	Kennedy, R. Emmet (Robert Emmet)			m	us	1877-1941.	1929		1929	1	1		New York|Dodd, Mead|1929.	Fiction		novel	Red Bean row
52	mdp.39015034399827	Budhos, Marina Tamar			f	us		1995		1995	1	1		New York|Global City Pres	Fiction		novel	House of waiting
53	uc2.ark+=13960=t7pn92073	Hopkins, William John			m	us	1863-1926.	1922		1922	2	2		Boston;Houghton Mifflin;1		Whaling	novel	She blowsl and sparm at that !
54	uva.x000682621	Morris, William			m	uk	1834-1896.	1910	1896.0	1896	2	2	V.18	London;Longmans, Green, a	Bibliographies|NotFiction		novel	The Well at the World’s End
55	mdp.39015050309551	Sherman, Delia			f	us	1951-	1999	1988.0	1999	1	1		Cambridge, MA|Circlet Pre	Fiction	Science fiction	novel	Through a brazen mirror : the famous flower of Servingmen
56	uc2.ark+=13960=t1qf91q47	Lamb, Caroline			f		1785-1828.	1822		1822	2	2	v.1	London;Henry Colburn;1822			novel	Graham Hamilton
57	uc1.b3569284	Tarkington, Booth			m	us	1869-1946.	1941		1941	3	3		Garden City, N.Y.|Doubled	NotFiction		novel	The fighting Littles
58	mdp.39015014743358	Train, Arthur Cheney			m	us	1875-1945.	1938		1938	1	1		New York|C. Scribner's so	NotFiction		novel	Old man Tutt
59	mdp.39015031045266	Lawrence, James Henry			m	uk	1773-1840.	1811		1811	4	4	v.3	London;Printed for T. Hoo	Fiction		novel	The empire of the Nairs; or, The rights of women. An Utopian romance
60	uc1.b4950725	Heller, William			m	us	1920-	1980		1980	1	1		Ardmore, Pa.|Dorrance|c19	Fiction		novel	Mr. President-- : a novel
61	uc1.32106014786492	AÄŸaoÄŸlu, Adalet	Ağaoğlu, Adalet		f	tu	1929-	1997		1997	1	1		Austin, Tex.|Center for M	NotFiction	Fiction|Social life and c	novel	Curfew
62	hvd.hwkd6m	Le Maistre, John Gustavus	Lemaistre, John Gustavus		m	uk	d. 1840.	1801	1799.0	1801	1	1		Cork;Connor;1801.	NotFiction		novel	Frederic Latimer; or, The history of a young man of fashion
63	mdp.39015065763206	Smith, Horace			m	uk	1779-1849.	1828		1828	8	8	v.3	London;H. Colburn;1828.	Fiction	Fiction|Description and t	novel	Zillah; a tale of the Holy City
64	uiuo.ark+=13960=t0jt0603z					uk		1866		1866	1	1	v.2	London;T.C. Newby;1866.			novel	The Master of Wingbourne
65	njp.32101074942507					uk		1832		1832	1	1	v. 1	London;Fisher, Son, and J	NotFiction		novel	"Richard of York; or, ""The white rose of England"""
66	mdp.39015012187459	Banville, John			m	ir	1945-	1986		1986	1	1		London|Secker & Warburg|1	Fiction		novel	Mefisto
67	uiuo.ark+=13960=t08w41v7r	Scargill, William Pitt			m	uk	1787-1836.	1827		1827	13	13	v.3	London;H.Colburn;1827.	Fiction|NotFiction		novel	Blue-stocking Hall
68	uc1.b4102932	Trusta, H					1815-1852.	1851		1851	2	2		Philadelphia, New York, [	NotFiction	American Sunday-School Un	novel	The sunny side; or, the country minister's wife
69	mdp.39015016450176	Bruce, Charles			m	ca	1906-1971.	1959		1959	1	1		Toronto|Macmillan|1959.	Fiction		novel	The township of time : a chronicle
70	uc2.ark+=13960=t4cn71w4h	Newall, J. T			m			1866		1866	1	1		London;Tinsley brothers;1		Hunting|India	novel	The eastern hunters
71	mdp.39015061142009							1994		1994	1	1		New York|Barnes & Noble|c	Short stories	Horror tales|Sea stories|	shortstories	Sea-cursed : thirty terrifying tales of the deep
72	wu.89095807715		Sandoe, James		m	us	1912-	1948		1948	1	1		New York|Sheridan House|c	Mystery and detective fic	Murder|Fiction|Crime|Dete	shortstories	Murder, plain & fanciful, with some milder malefactions
73	uc2.ark+=13960=t7np1zc9r	Joseph, E. L	Joseph, Edward Lanzer		m	tr	1792-1838.	1838		1838	1	1	v.2	London;Saunders and Otley			novel	Warner Arundell
74	hvd.hwp4k1	Walker, George			m	uk	1772-1847.	1833	1800.0	1833	3	2	2	Baltimore;W. & J. Neal;18	NotFiction		novel	The three Spaniards, a romance
75	wu.89098013311	Brownell, Henrietta M. K			f	us		1885		1885	1	1		New York;The Catholic Pub	Fiction	Fiction	novel	God's way: man's way; a story of Bristol
76	uc2.ark+=13960=t4bp00d65	Turczynowicz, Laura (Blackwell) de Gozdawa						1916		1916	2	2		New York;London;G.P. Putn		IsBiographical|Poland|His	nonfic	When the Prussians came to Poland;
77	mdp.39015004116086	Brautigan, Richard			m	us	1935-1984	1971		1971	2	2		New York|Simon and Schust	Fiction|NotFiction		novel	The abortion: an historical romance 1966
78	uc2.ark+=13960=t7gq6s478	Hawthorne, Julian			m	us	1846-1934.	1880		1880	2	2		London;Longmans, Green;18			shortstories|juvenile	Yellow-cap, and other fairy-stories for children
79	njp.32101065104125							1847		1847	1	1		London;Steill;1847	NotFiction		nonfic	Wisdom for the age; or, Common sense for those who want it, being the experience of Magus, an eccentric philosopher who opened a school in the modern Babylon ... Term the first
80	uiuo.ark+=13960=t0ms4c84w	Steward, Isabella Travers			f			1840		1840	3	3	v.1	London;Boone;1840.			novel	The interdict
81	hvd.32044090341959	Dickens, Charles			m	uk	1812-1870.	1840		1840	5	5	v.1	London;Chapman and Hall;1	Fiction|Historical fictio	Fiction|Gordon Riots, 178	nonfic	Master Humphrey's clock
82	mdp.39015000551575	O'Meara, Walter			m	us	1897-1989.	1956		1956	1	1		New York|Holt|1956	Fiction		novel	Minnesota Gothic, a novel
83	uiuo.ark+=13960=t76t0x921							1825		1825	2	2	v.1	London;Printed for C. Kni		Great Britain|Fiction|His	novel	The Abduction, or, The adventures of Major Sarney
84	njp.32101068178696	Herbert, Henry William					1807-1858.	1881		1858	3	3	v.2	Philadelphia;T. B. Peters	NotFiction	1856-1925|Pond, Fred. E|(	reprint	"Frank Forester's sporting scenes and characters. Embracing ""The Warwick woodlands"", ""My shooting box"", ""The Quondon hounds"", and ""The deerstalkers"""
85	uc1.b4451101	Mayer, Debby			f	us		1982		1982	1	1		New York|Putnam|c1982.	Fiction		novel	Sisters
86	uc1.b305452	Bremer, Fredrika			f	sw	1801-1865.	1843	1839.0	1843	2	2	v. 2	London;Longman, Brown, Gr			novel	The home
87	inu.30000095651000	Griffith, Nicola			f		1960-	2007		2007	1	1		New York|Riverhead Books|	Mystery fiction|Fiction	Lesbians|Real estate inve	novel	Always
88	uc2.ark+=13960=t52f7k62m	Morris, Gouverneur			m	us	1876-1953.	1921	1911.0	1921	2	2		New York;Dodd, Mead;1921 			novel	Yellow men and gold
89	nyp.33433074879259							1873		1873	1	1		New York;G.W. Carleton & 	Fiction	Fiction	novel	Loyal unto death. A novel ... Three volumes in one, complete
90	uc2.ark+=13960=t43r0vq9h	Reid, Mayne	Reid, Thomas Mayne		m	us	1818-1883.	1875	1850.0	1875	2	1		N. Y.;Carlton;London;S. L	Fiction		novel	The rifle-rangers;
91	inu.39000001595003	Anderson, Jessica			f	au	1916-2010.	1980		1980	1	1		South Melbourne, Vic.|Mac	Fiction		novel	The impersonators
92	mdp.39015069577073	Cranfill, Thomas Mabry						1959		1959	2	2		Austin|University of Texa	NotFiction	translations into English	nonfic	The muse in Mexico : a mid-century miscellany
93	mdp.39015014859345	Winwar, Frances			f	us	1900-1985.	1953		1953	1	1		New York|Harper|c1953.	Fiction	Napoleon|Fiction|1769-182	novel	The eagle and the rock
94	njp.32101076479763	Verne, Jules					1828-1905.	1911		1905	1	1	v.7	New York;V. Parke;c1911.	Fiction		reprint	Works of Jules Verne
95	uc1.b3727928	Wylie, Philip			m	us	1902-1971.	1934		1934	2	2		New York|Farrar & Rinehar	Fiction		novel	Finnley Wren, his notions and opinions : together with a haphazard history of his career and amours in these moody years, as well as sundry rhymes, fables, diatribes and literary misdemeanors : a novel in a new manner
96	uiuo.ark+=13960=t10p1qp5d	West	West, Jane	Mrs. West	f	uk		1827		1827	4	4	v.2	London;Printed for Longma			novel	Ringrove;, or Old Fashioned Notions
97	uiuo.ark+=13960=t04x5jz3v	Beale, Anne			f	uk		1889		1889	3	3	v.3	London;Hurst and Blackett			novel	Restitution
98	uiuo.ark+=13960=t0ns18n38	Mant, Alicia Catherine			f	uk	1788-1869.	1817		1817	2	2	v.1	London;Printed for Law an			novel	Montague Newburgh; or, The mother and son
99	uiuo.ark+=13960=t9m333839	Lindsay	Lindsay, Lady Caroline Blanche Elizabeth		f	uk	1845-1912.	1891		1891	6	6	v.1	London;R. Bentley;1891.			novel	Bertha's earl
100	wu.89099787574	Shastid, Thomas Hall			m	us	1866-1947.	1923		1923	3	3		Ann Arbor, Michigan|Georg	Fiction	Simon|of Cyrene|Fiction	novel	Simon of Cyrene, dimachaerus splendens,: or, The story of a man's (and a nation's) soul
101	mdp.39015048561743	Blackthorn, John		Blackthorn, John	m	us		2000		2000	1	1		New York|W. Morrow & Co.|	Political fiction|Love st	1928-1967|Fiction|Guevara	novel	I, Che Guevara : a novel
102	nyp.33433074864434	Baron, Gorell, Ronald Gorell Barnes	Barnes, Ronald Gorell		m	uk	1884-1963.	1917		1917	1	1		New York;London [etc.;Lon	Fiction		novel	In the night
103	uc1.b4097481	O'Casey, Sean					1880-1964.	1939		1939	2	2		New York|Macmillan|1939.	NotFiction		nonfic	I knock at the door; swift glances back at things that made me
104	hvd.32044013683610							1824		1824	1	1		Dedham [MA;M and W. H. Ma	NotFiction	Badger, Sarah|d.1822	nonfic	Statement of facts, relative to the last will of the late Mrs. Badger of Natick : which was disallowed on the final hearing
105	mdp.39015064115846	IntirÄ PÄrttacÄrati	Parthasarathy, R.	Parthasarathy, Indira	m	in	1930-	2005		2005	1	1		New Delhi|Rupa & Co.|2005	Fiction		novel	Comrades of Jesus
106	mdp.39015002309618	Ritzer, George						1981		1981	1	1		Boston|Allyn and Bacon|c1	Bibliographies|NotFiction	Sociology	nonfic	Toward an integrated sociological paradigm : the search for an exemplar and an image of the subject matter
107	nyp.33433074881040	Marshall, L. A, Mrs			f	us		1826		1826	2	2		Philadelphia;Amer. S. Sch	Fiction|NotFiction	Conduct of life|English f	novel	A sketch of my friend's family, intended to suggest some practical hints on religion and domestic manners
108	hvd.32044096989538	Ellet, E. F. (Elizabeth Fries)					1818-1877.	1840		1840	2	2	v.9	Boston;Marsh, Capen, Lyon	Fiction	Description and travel	nonfic	Rambles about the country
109	wu.89005393855	McIntyre, John Thomas			m	us	1871-1951.	1919	1918.0	1919	1	1		New York;A.L. Burt;c1919	Fiction		novel	Ashton-Kirk, criminologist
110	njp.32101073360370	Woodworth, Francis C. (Francis Channing)		Tinker, Theodore	m	us	1812-1859.	1854		1854	1	1		New York;Clark, Austin & 	Juvenile audience|NotFict		shortstories|juvenile	The balloon, and other stories ... : for children
111	mdp.39015063542172	Collins, Wilkie			m	uk	1824-1889.	1884		1884	3	3	v.3	London;Chatto & Windus;18	Fiction|NotFiction	823C69I	novel	I say no
112	mdp.39015033010151	Carr, John Dickson			m	us	1906-1977.	1944		1944	1	1		New York|London|Harper & 	Fiction		novel	Till death do us part, a Dr. Fell mystery story
113	uc1.b3473182	Royce, Kenneth			m	uk	1920-1997.	1967		1967	1	1		London|Cassell|1967.	NotFiction		novel	Bones in the sand
114	mdp.39015057083993	Taylor, Meadows	Taylor, Philip Meadows		m	uk	1808-1876.	1863		1863	7	5	v.1	Edinburgh;W. Blackwood;18	Fiction|NotFiction	Fiction|1526-1765|Maratha	novel	Tara : a Mahratta tale
115	mdp.39015020686518	Lamming, George			m	ba	1927-	1958		1958	2	2		London|M. Joseph|1958	NotFiction		novel	Of age and innocence
116	mdp.39076002266299	Stackpole, Edouard A			m	us	1903-1993	1935		1935	1	1		New York|W. Morrow|1935.	Fiction|ContainsBiogMater	Juvenile fiction|Whalers 	novel	Madagascar Jack : the story of a Nantucket whaler, being the account of Obed C. Folger, thirteen years of age, who went to the South Seas with whalemen, and found there many adventures as well as sperm whales
117	uiuo.ark+=13960=t5t72p82m	Besant, Walter, Sir			m	us	1836-1901.	1876		1876	7	7	v.3	London;Tinsley Brothers;1	Fiction|NotFiction		novel	The golden butterfly
118	uc2.ark+=13960=t01z43536	Costello, Louisa Stuart			f		1799-1870.	1848		1848	3	3	v.2	London;R. Bentley;1848.			novel	Clara Fane, or, The contracts of a life
119	uiuo.ark+=13960=t08w42t7q	Venn, Susannah C				uk		1884		1884	3	3	v.2	London;R. Bentley;1884.			novel	The Dailys of Sodden Fen
120	mdp.39015026437684	Rasmussen, Vilhelm					1869-1939.	1920		1920	2	2	v.3	London [etc.;Gyldendal;19	NotFiction	Kindergarten|Child psycho	nonfic	The kindergarten child, thought, imagination and feeling; will and morale
121	uc2.ark+=13960=t0ht2hx56	Sidgwick, Alfred, Mrs	Sidgwick, Cecily		f	uk	1854-1934.	1917		1917	1	1		New York;W.J. Watt & Comp			novel	Salt of the earth
122	uc1.32106017829828	Vollmann, William T			m	us	1965-1959	1987		1987	2	2		New York|Atheneum|1987.	Fiction		novel	You bright and risen angels : a cartoon
123	inu.30000122924032	Kamata, Suzanne			f	us	1965-	2007	2008.0	2007	1	1		Wellfleet, Mass.|Leapfrog	Fiction	Marital conflict|Fiction|	novel	Losing Kei : a novel
124	uiuo.ark+=13960=t3514q38x	Holstein, Anthony Frederick			m	uk		1810		1810	4	4	v.4	London;Printed at the Min			novel	The miseries of an heiress
125	uc1.$b119319	Guth, Paul			m	fr	1910-1997.	1957	1956.0	1957	1	1		London|Cape|1957	Fiction		novel	The innocent tenant;
126	osu.32435059299925	Wyman, Levi Parker			m		1873-	1923		1923	1	1		New York|A.L. Burt|c1923	NotFiction		novel	The Golden boys along the river Allagash
127	uc2.ark+=13960=t3610x82j							1836		1836	1	1	v.3	London;R. Bentley;1836.			novel	Adventures of Bilberry Thurland
128	mdp.39015014552411	Davis, Christopher			m	us	1928-	1975		1975	2	2		New York|Harper & Row|197	Fiction		novel	The Sun in mid-career
129	mdp.39015063957503	Fletcher, J. S. (Joseph Smith)			m	uk	1863-1935.	1924	1913.0	1924	1	1		London|Hodder and Stought	Fiction		shortstories	The secret of the Barbican and other stories
130	uc2.ark+=13960=t2p55ds9s	Peck, Ellen		Pine, Cuyler	f			1875		1875	2	2		New York;Carleton;1875.			novel	Ecce femina; or, The woman Zoe
131	loc.ark+=13960=t22b9ds5h	Harman, Michael Garber			m	us		1909		1909	2	2		Richmond, Va.;Southern pu		United States|Walking|Des	nonfic	The Arizona limited
132	njp.32101013593403	Day, Samuel Phillips			m			1872		1872	1	1		London;Cassell, Petter, a	Juvenile audience|London|		reprint	The rare romance of Reynard the fox, the crafty courtier : together with The shifts of his son Reynardine : in words of one syllable
133	nyp.33433075762652	Trollope, Frances Milton			f	uk	1779-1863.	1832		1832	5	5	v. 2	London;Whittaker, Treache	Fiction		novel	The refugee in America: a novel
134	inu.32000009261134	Conrad, Joseph			m	uk	1857-1924.	1925	1899.0	1924	1	1	v.21	Garden City, N.Y.|Doubled	Fiction		novel	Lord Jim
135	nyp.33433074922729	Smith, Elizabeth					1776-1806.	1809		1806	2	2	v. 2	Bath;Printed by R. Cruttw	NotFiction	Miscellanea|English liter	nonfic|poetry	Fragments, in prose and verse:
136	uc2.ark+=13960=t4rj4988x	Corcoran, Brewer			m	us	1977-	1918		1918	1	1		Boston;Page;1918.			novel	The Boy Scouts of Kendallville
137	nyp.33433043248826	Camp, Walter		Colton, Matthew M.	m	us	1859-1925.	1913		1913	1	1		New York;Hurst & Company;	Fiction		novel	Frank Armstrong, captain of the nine
138	uc2.ark+=13960=t3804z03n	Roe, A. S						1849		1849	1	1		New York;D. Appleton;c184			novel	James Montjoy
139	nyp.33433074837471	Beatty, John			m	us	1828-1914.	1883		1883	2	2		Philadelphia;J.B. Lippinc	Fiction		novel	The Belle o'Becket's lane. An American novel
140	mdp.39015002652405	Bradbury, Malcolm			m	uk	1932-2000.	1976		1976	3	3		London|Secker & Warburg|1	Fiction|NotFiction		shortstories	Who do you think you are? : Stories and parodies
141	mdp.39015047453652	Stamadianos, Jorge			m	cl	1961-	1999		1999	1	1		Pittsburgh, PA|Latin Amer	Fiction	Buenos Aires|Adultery|Wom	novel	Beer cans in the Rio de la Plata
142	njp.32101064071184					us		1837		1837	1	1		Boston;Weeks, Jordan, & C	Fiction		novel	Living on other people's means; or, The history of Simon Silver
143	nyp.33433034411045	Wood, Ellen			f	uk	1814-1887.	1886	1862.0	1886	1	1		London;R. Bentley & Son;1	Fiction	English fiction	novel	A life's secret. A novel
144	pst.000008276803	Torre-Bueno, J. R. de la (JosÃ© Rollin)					1871-1948	1939		1939	1	1	pt.1 no.1	Lancaster, Pa.|1939].	NotFiction	Hemiptera|North America	nonfic	A synopsis of the Hemiptera-Heteroptera of America north of Mexico
145	wu.89062856570	Barnes Emily R. (Emily Ripley)					1800-	1888		1888	1	1		Boston;G. H. Ellis;1888.	History|ContainsBiogMater	fast/NIC/NAC|fast|(OCoLC)	nonfic	Narratives, traditions and personal reminiiscences connected with the early history of the Bellows family, and of the village of Walpole, N.H
146	mdp.39015002601626							1969		1969	1	1		Boston|Houghton Mifflin|1	NotFiction	Social conditions|African	nonfic	The Image is you
147	uc2.ark+=13960=t2697641q	Merezhkovsky, Dmitry Sergeyevich			m	ru	1865-1941.	1901	1895.0	1901	2	2		Westminster;A. Constable;		331-363|Julian|Emperor of	novel	The death of the gods
148	uc1.32106016894641	Ikezawa, Natsuki			m	jp	1945-	2001	2000.0	2001	1	1		Tokyo|New York|Kodansha I	Novel|Suspense fiction	Fiction|Drug traffic|Sout	novel	A burden of flowers
149	uva.x000664921	bp., Fitzgerald, Oscar Penn			m	us	1829-1911.	1895		1895	1	1		Nashville, Tenn.;Publishi	Fiction	Social life and customs|D	novel	California sketches. New and old
150	nyp.33433076044340	Seavy, Tom			m			1916		1916	1	1		Wantagh, New York;Bartlet	Fiction	1916|Imprints	novel	Dom Quick Jota
151	nyp.33433076069602	Lee, Eliza Buckminster			f	us	1794-1864.	1852		1852	1	1		Boston;Ticknor, Reed, and	Fiction		novel	Florence, the parish orphan; and A sketch of the village in the last century
152	mdp.39015005382133	Bemelmans, Ludwig					1898-1962.	1955		1955	4	4		New York|Viking Press|195	Fiction		nonfic	The world of Bemelmans; an omnibus
153	mdp.39076002598642	Means, Florence Crannell			f	us	1891-1980.	1953		1953	1	1		Boston|Houghton Miffllin 	Juvenile audience|Fiction	Young women|Juvenile fict	novel	Alicia
