"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"njp.32101063971665"	8	"D'Annunzio, Gabriele"	"1863-1938."	"drama"	8			"m"	"UnknownGenre|NotFiction"	"New York;R. H. Russell;19"	1901	1901	"it"			"Gioconda"	
"mdp.39015010684937"	1	"Synge, J. M. (John Millington)"	"1871-1909."	"drama"	1			"m"	"UnknownGenre"	"Dublin;Maunsel & co.;1911"	1911	1909			"Synge, John Millington"	"Four plays"	
"hvd.hn2hej"	2	"Semple, Elizabeth"	"fl. 1804-1816."	"juvenile"	2	"v.2"		"f"	"Juvenile audience|Fiction"	"London;Printed for E. Llo"	1801	1801				"Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales"	"Conduct of life|Children"
"uc1.b3553822"	2	"Corry, John"	"approximately 1770-"	"juvenile"	2			"m"	"Fiction"	"London;Printed for B. Cro"	1803	1803	"uk"			"The history of Henry Thomson, or The reward of filial affection"	"Chapbooks"
"mdp.39015009231708"	11	"Day, Thomas"	"1748-1789."	"juvenile"	3			"m"	"Juvenile audience|Fiction"	"London;Printed for B. Cro"	1803	1789	"uk"			"The history of Sandford and Merton"	"Juvenile literature|1748-"
"uiuo.ark+=13960=t3cz3x62n"	13	"Edgeworth, Maria"	"1767-1849."	"juvenile"	6	"v.3"	1800	"f"	"Fiction|NotFiction"	"London;Printed for J. Joh"	1804	1804	"uk"			"Popular tales"	"Juvenile literature|X823E"
"dul1.ark+=13960=t6737pj6n"	4	"Berquin"	"1747-1791"	"juvenile"	3			"m"		"New-York;Printed for S. C"	1804	1804	"fr"		"Berquin, Arnaud"	"The looking-glass for the mind; or, Intellectual mirror"	"Van Boskerck, William Web"
"hvd.hn2her"	1			"juvenile"	1			"u"	"NotFiction"	"London;printed for J.Harr"	1804	1804				"The Tame goldfinch,or The unfortunate neglect"	
"nyp.33433066604392"	3	"M. Berquin, (Arnaud)"	"1747-1791."	"juvenile"	2		1787	"m"	"Juvenile audience|Fiction"	"Philadelphia;Printed and "	1805	1791	"fr"		"Berquin, Arnaud"	"[The looking-glass for the mind, or The juvenile friend"	"Children's stories, Frenc"
"uiuo.ark+=13960=t1pg27k2b"	3	"Pinchard"		"juvenile"	3	"v.1"		"f"		"London;Printed for H. Col"	1814	1814	"uk"		"Pinchard, Elizabeth"	"Mystery and confidence"	
"njp.32101007891326"	1	"Taylor, Jane"	"1783-1824."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"London;Printed for Taylor"	1815	1815	"uk"			"Display : a tale"	"Pride and vanity|Juvenile"
"hvd.hwjw3i"	11	"Edgeworth, Maria"	"1767-1849."	"juvenile"	4	"v.3"	1801	"f"	"Juvenile audience|Fiction"	"London;R. Hunter and Bald"	1821	1821	"uk"			"Moral tales"	"English fiction|Conduct o"
"nyp.33433082531934"	11	"Edgeworth, Maria"	"1767-1849."	"juvenile"	11	"v. 1"		"f"	"Juvenile audience|Fiction"	"Cambridge;Hilliard and Me"	1822	1822	"uk"			"Frank, a sequel to Frank in Early lessons"	"Juvenile fiction|Conduct "
"mdp.39015010950544"	2	"Sherwood, (Mary Martha), 1775-1851, Mrs"	"1775-1851."	"juvenile"	2		1820	"f"	"UnknownGenre|NotFiction"	"Wellington;Salop;Printed "	1827	1827	"uk"			"The governess; or, The little female academy"	
"hvd.hn5dj1"	1			"juvenile"	1			"u"	"Juvenile audience|Fiction"	"Salem, [Mass;Ives and Jew"	1833	1833				"Woodland Cottage, or, Henry and Emma Acton's conversations to their children, on the animal and vegetable world"	"Nature study"
"nyp.33433076062334"	1	"Sherwood, (Mary Martha), 1775-1851, Mrs"	"1775-1851."	"juvenile"	1	"v. 5"	1819	"f"	"Fiction"	"New York;Harper & Brother"	1834	1834	"uk"		"Sherwood, Mary Martha"	"The works of Mrs. Sherwood. Being the only uniform edition ever published in the United States"	
"uc1.b266926"	2			"juvenile"	2			"u"		"Philadelphia;American Sun"	1835	1835				"Ann Connover"	
"njp.32101063604050"	1	"Frost, John"	"1800-1859."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Philadelphia;J. Crissy;18"	1835	1835	"us"			"A portfolio for youth"	
"hvd.hn5dnc"	1	"Abbott, Jacob"	"1803-1879."	"juvenile"	1			"m"	"NotFiction"	"Boston;T.H. Carter, agent"	1838	1838	"us"			"Rollo at play, or, Safe amusements"	"Readers"
"hvd.32044009812777"	1	"Bowdich, Sarah"	"1791-1856."	"juvenile"	1			"f"	"NotFiction"	"London;Ackermann and Co.,"	1841	1841	"uk"		"Lee, Sarah Bowdich"	"The juvenile album, or tales from far and near :"	
"nyp.33433074931597"	2	"Forrester, Charles Robert"	"1803-1850."	"juvenile"	2	"v. 2"		"m"	"NotFiction"	"London;R. Bentley;1843."	1843	1843	"uk"	"Crowquill, Alfred; Willis, Hal"	"Forrester, Charles Robert"	"Phantasmagoria of fun"	
"uc2.ark+=13960=t19k4bc1s"	1	"Hofland"	"1770-1844"	"juvenile"	1		1825	"f"		"London;A. Hall, Virtue;18"	1850	1850	"uk"		"Hofland, Barbara"	"Moderation;"	
"uc2.ark+=13960=t82j6h609"	1		"1800-1881"	"juvenile"	1			"f"		"New York;G. A. Leavitt;18"	1850	1850	"ir"		"Hall, Anna Maria"	"The Juvenile forget-me-not"	"Gift books"
"nyp.33433000572291"	1	"Hildebrandt, Johann Andreas Christoph"	"1763-1848."	"juvenile"	1			"m"	"Juvenile audience|NotFict"	"New York;M. W. Dodd;1852,"	1851	1848	"de"			"Winter in Spitzbergen : a book for youth"	"Description and travel"
"uc2.ark+=13960=t5w669q8k"	4	"Haven, Alice B. (Alice Bradley)"	"1827-1863."	"juvenile"	4			"f"	"Fiction|Juvenile audience"	"New-York;D. Appleton & Co"	1853	1853	"us"		"Haven, Alice Bradley Neal"	"""All's not gold that glitters"""	"Gold mines and mining|Juv"
"uc1.b4104064"	2	"Abbott, Jacob"	"1803-1879."	"juvenile"	2		1835	"m"	"Juvenile audience|Fiction"	"New York;T. Y. Crowell;18"	1855	1855	"us"			"Rollo learning to read"	
"mdp.39015064810974"	1	"Old Humphrey"	"1787-1854."	"juvenile"	1			"m"	"NotFiction"	"Philadelphia;Presbyterian"	1855	1854	"uk"	"Old Humphrey"	"Mogridge, George"	"Learning to converse"	"Conduct of life|Conversat"
"njp.32101063604563"	2	"Mudge, Zachariah Atwell"	"1813-1888."	"juvenile"	2			"m"	"Juvenile audience|NotFict"	"Boston;Degen & Estes, 23 "	1857	1857	"us"			"A will, and a way :  or, The boy in the city"	
"nyp.33433082529615"	3	"Optic, Oliver"	"1822-1897."	"juvenile"	2			"m"	"Juvenile audience|Fiction"	"Boston;Brown, Bazin;1857."	1857	1857	"us"		"Adams, William Taylor"	"Now or never : or, The adventures of Bobby Bright, a story for young folks"	
"uc1.b3331910"	1			"juvenile"	1				"Juvenile audience|Fiction"	"New York;Dick & Fitzgeral"	1858	1858				"The book of one thousand tales and amusing adventures : a work for youth"	
"nyp.33433082290986"	1	"Yonge, Charlotte M. (Charlotte Mary)"	"1823-1901."	"juvenile"	1			"f"	"NotFiction"	"New York;General Prot. Ep"	1859	1859	"uk"		"Yonge, Charlotte Mary"	"Ben Sylvester's word"	
"uc2.ark+=13960=t84j0hc8r"	1	"Hofland"	"1770-1844."	"juvenile"	1			"f"		"London;A. Hall, Virtue;18"	1859	1859	"uk"		"Hofland, Barbara"	"Alicia and her aunt; or, Think before you speak"	
"uc2.ark+=13960=t01z42s2c"	1			"juvenile"	1			"f"		"New York;Gen. Prot. Episc"	1859	1859				"Coralie and Rosalie, the little sisters of charity"	
"nyp.33433082529359"	1	"Adams, C. (Charlotte)"		"juvenile"	1			"f"	"Juvenile audience|Fiction"	"New York;D. Appleton & Co"	1861	1861	"us"			"Edgar Clifton, or, Right and wrong. A story of school life"	"Children's stories, Engli"
"njp.32101063604167"	1	"Guernsey, Lucy Ellen"	"1826-1899."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"New York;Anson D.F. Rando"	1863	1863	"us"			"Tabby and her travels : or the holiday adventures of a kitten ; a Christmas and New Year's story"	
"nyp.33433082547013"	1	"Optic, Oliver"	"1822-1897."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Boston;Lee and Shepard .."	1864	1864	"us"		"Adams, William Taylor"	"Dolly and I : a story for little folks"	
"nyp.33433082531827"	1	"Eddy, Daniel C. (Daniel Clarke)"	"1823-1896."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"New York;Sheldon;1868, c1"	1864	1864	"us"		"Eddy, Daniel Clarke"	"Walter in Constantinople"	"Description and travel|Ch"
"nyp.33433082528005"	1	"Abbott, Jacob"	"1803-1879."	"juvenile"	1			"m"	"NotFiction"	"New York;Sheldon;1864."	1864	1864	"us"			"The steeple trap"	
"nyp.33433082303151"	1	"Franklin, Josephine"		"juvenile"	1			"f"	"Juvenile audience|Fiction"	"Boston;Taggard and Thomps"	1865	1865	"us"			"Martin and the miller"	
"nyp.33433074920962"	1	"Leslie, Madeline"	"1815-1893."	"juvenile"	1			"f"	"NotFiction"	"Boston;Henry A. Young;186"	1867	1867	"us"	"Aunt Hattie, Madeline Leslie"	"Baker, Harriette Newell Woods"	"The chest of tools"	
"nyp.33433082529532"	1	"Optic, Oliver"	"1822-1897."	"juvenile"	1			"m"	"Fiction"	"Boston;Lee and Shepard;18"	1868	1868	"us"		"Adams, William Taylor"	"The starry flag; or, The young fisherman of Cape Ann"	
"uc2.ark+=13960=t7zk57871"	3	"McKeever, Harriet B. (Harriet Burn)"	"1807-1886."	"juvenile"	3			"f"	"Fiction"	"New York;Hurst;1869"	1869	1869	"us"		"McKeever, Harriet Burn"	"Westbrook parsonage"	
"njp.32101063603573"	1	"Leslie, Madeline"	"1815-1893."	"juvenile"	1			"f"	"Fiction"	"Boston;Henry A. Young;186"	1869	1869	"us"	"Leslie, Madeline"	"Baker, Harriette Newell Woods"	"The violet-girls : or, Susy and Louise"	
"nyp.33433082284526"	1	"Aimwell, Walter"	"1822-1859."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Boston;Gould and Lincoln;"	1870	1859	"us"	"Aimwell, Walter"	"Simonds, William"	"Whistler; or, The manly boy"	"Children's stories, Ameri"
"njp.32101068170230"	1	"Hosmer, Margaret"	"1830-1897.|"	"juvenile"	1			"f"	"NotFiction"	"Philadelphia;Porter & Coa"	1870	1870	"us"	"A Pair of Hands"	"Hosmer, Margaret|Dunalp, Julia"	"Under the holly. A book for girls"	
"uc1.b248787"	2	"Eggleston, Edward"	"1837-1902."	"juvenile"	2		1870	"m"		"Chicago [Ill.;Adams, Blac"	1872	1870	"us"			"Mr. Blake's walking stick"	"Christmas stories"
"nyp.33433082302906"	2	"Foote, Edward B. (Edward Bliss)"	"1829-1906."	"juvenile"	2	"v. 4"		"m"	"NotFiction"	"New York;Murray Hill Pub."	1874	1874	"us"			"Sammy Tubbs, the boy doctor and ""Sponsie"" the troublesome monkey"	"Physiology|Anatomy|Popula"
"nyp.33433006640944"	1	"Kirby, Mary"	"1817-1893."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"London;T. Nelson and Sons"	1875	1875	"uk"			"Aunt Martha's corner cupboard : a story for little boys and girls"	"Food|Juvenile literature"
"nyp.33433074946900"	1	"Coates, E"		"juvenile"	1			"f"	"Fiction"	"London;The Religious Trac"	1879	1879	"uk"			"While they are with us"	"English fiction"
"uiuo.ark+=13960=t9h427g45"	4	"Jefferies, Richard"	"1848-1887."	"juvenile"	3	"v.2"		"m"	"Fiction"	"London;Sampson Low, Marst"	1882	1882	"uk"			"Bevis"	
"uc2.ark+=13960=t6542jv7b"	1	"Finley, Martha"	"1828-1909."	"juvenile"	1			"f"		"New York;Dodd, Mead;c1884"	1884	1884	"us"			"Mildred at home"	
"uc2.ark+=13960=t2n58dq5s"	1	"Mulholland, Clara"		"juvenile"	1			"f"		"Boston;T.B. Noonan;1887."	1887	1887				"Percy's revenge"	
"nyp.33433082361951"	1	"Johnson, Rossiter"	"1840-1931."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"New York;C. Scribner's so"	1892	1892	"us"			"The end of a rainbow; an American story"	
"uc1.b28759"	2	"Wood, S. R"		"juvenile"	2			"u"		"Ferndale, Calif.;Matthews"	1894	1894				"Immanuel"	
"uc1.b3332173"	3	"Ellis, Edward Sylvester"	"1840-1916."	"juvenile"	3			"m"	"Juvenile audience|NotFict"	"Philadelphia;Henry T. Coa"	1895	1895	"us"			"The path in the ravine"	
"nyp.33433082300280"	1	"Nesbit, E. (Edith)"	"1858-1924."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"New York;London;Harper & "	1901	1901	"uk"		"Nesbit, Edith"	"The Wouldbegoods"	
"nyp.33433082285945"	1	"Stratemeyer, Edward"	"1862-1930."	"juvenile"	1		1894	"m"	"NotFiction"	"Boston;Lee and Shepard;19"	1902	1902	"us"			"Richard Dare's venture; or, Striking out for himself"	
"njp.32101074760438"	1	"Chambers, Robert W. (Robert William)"	"1865-1933."	"juvenile"	1				"Juvenile audience|Fiction"	"New York;and London;Harpe"	1902	1902				"Outdoorland, a story for children"	"Arts and Crafts"
"nyp.33433081963146"	1	"Wade, Mary Hazelton Blanchard"	"1860-1936."	"juvenile"	1			"f"	"NotFiction"	"Boston;Chicago;W. A. Wild"	1904	1904	"us"			"Ten little Indians; stories of how Indian children lived and played"	"Indian children|North Ame"
"njp.32101079836282"	1	"Stebbins, Callie B"		"juvenile"	1			"f"	"NotFiction"	"Lamoni, Iowa;Herald Publi"	1908	1908				"The silver thimble ; and, The happiest Christmas / by Callie B. Stebbins"	
"loc.ark+=13960=t3jw97s1n"	1	"Jeanrenaud, Henriette. [from old catalog]"		"juvenile"	1			"f"		"Chicago;A. C. McClurg & c"	1908	1908				"The Duke of Brittany;"	"1187-1203|Duke of Brittan"
"njp.32101079836654"	1	"Carter, Mary Leland | Smith, Elbert A."	" | 1871-1959"	"juvenile"	1			"o"	"Fiction"	"Lamoni, Iowa;Herald Publi"	1908	1908	"us"			"An instrument in His hands"	"Mormons and Mormonism|Fic"
"njp.32101067626703"	1	"Jr., Alger, Horatio"	"1832-1899."	"juvenile"	1			"m"	"Fiction"	"New York;New York Book Co"	1909	1899	"us"			"Joe's luck, or, always wide awake"	
"mdp.39015063544459"	2	"Cox, Florence Tinsley"	"1877-1940."	"juvenile"	2			"f"	"NotFiction"	"Boston;Small, Maynard & c"	1909	1909				"The chronicles of Rhoda"	
"uva.x030743258"	2	"Winfield, Arthur M"	"1862-1930"	"juvenile"	2			"m"	"Juvenile audience|Fiction"	"New York;Grosset & Dunlap"	1910	1910	"uk"	"Winfield, Arthur M"	"Stratemeyer, Edward"	"The Rover boys at college; or, The right road and the wrong"	
"mdp.39015030719226"	2	"Westover, Clyde C"		"juvenile"	2			"m"	"Fiction"	"New York;Neale;1912."	1912	1912				"The dragon's daughter"	
"uc2.ark+=13960=t1ng4jr18"	1	"Serl, Emma"	"1876-"	"juvenile"	1			"f"		"Boston;Silver Burdett;191"	1913	1913	"us"			"In the animal world"	"Readers"
"nyp.33433076051691"	1	"Marsh, Marie L. (Marie Louise)"		"juvenile"	1			"f"	"Fiction"	"Chicago;F.G. Browne & Co."	1913	1913	"us"			"Auburn and freckles"	
"njp.32101066109917"	1	"Standish, Burt L"	"1866-1945."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"New York;Barse & Hopkins;"	1914	1914	"us"	"Standish, Burt L"	"Patten, William George Gilbert"	"Lefty o' the training camp"	
"uc2.ark+=13960=t4fn1393k"	1	"Peacocke, Isabel Maud"		"juvenile"	1			"f"		"Chicago;Rand McNally & Co"	1915	1915	"nz"			"My friend Phil"	
"uc2.ark+=13960=t7hq3sp07"	1	"Winfield, Arthur M"	"1862-1930"	"juvenile"	1			"m"		"New York;Grosset & Dunlap"	1915	1915	"us"	"Winfield, Arthur M"	"Stratemeyer, Edward"	"The Rover boys in business"	
"nyp.33433082524152"	1	"Barbour, Ralph Henry"	"1870-1944."	"juvenile"	1			"m"	"Juvenile audience|NotFict"	"New York;Grosset & Dunlap"	1916	1916	"us"			"Left guard Gilbert"	"Children's stories, Ameri"
"uc2.ark+=13960=t21c1v37w"	1	"Sidney, Margaret"	"1844-1924."	"juvenile"	1			"f"		"Boston;Lothrop, Lee & She"	1916	1916	"us"	"Sidney, Margaret"	"Lothrop, Harriet Mulford Stone"	"Our Davie Pepper"	
"mdp.39015086885897"	1	"Hope, Laura Lee"		"juvenile"	1			"f"	"Juvenile audience|Fiction"	"Akron, Ohio;Saalfield Pub"	1916	1916	"us"	"Hope, Laura Lee"		"The moving picture girls in war plays, or, The sham battles at Oak Farm"	"Actresses|Fiction"
"nyp.33433082300058"	1	"Blanchard, Amy Ella"	"1856-1926."	"juvenile"	1			"f"	"Juvenile audience|NotFict"	"Boston;Chicago;W. A. Wild"	1917	1917	"us"			"In camp with the Muskoday camp fire girls"	
"nyp.33433082300892"	1	"Brown, Helen Dawes"	"1857-1941."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"Boston;New York;Houghton "	1918	1918				"Little Jean"	
"nyp.33433082346044"	1	"Langford, George"	"1876-"	"juvenile"	1			"m"	"Fiction"	"New York;Boni and Liverig"	1921	1921	"us"			"Kutnar, son of Pic"	
"mdp.39015062654598"	1			"juvenile"	1				"Fiction"	"Chicago [Ill.;A. Flanagan"	1922	1922				"Robinson Crusoe silhouettes : the complete story of Robinson Crusoe in silhouettes"	"Silhouettes|In art|Crusoe"
"mdp.39076002170442"	1	"Orton, Helen Fuller"	"1872-1955."	"juvenile"	1			"f"	"Fiction"	"New York|Frederick A. Sto"	1925	1925				"The little lost pigs"	"Juvenile fiction|Swine"
"wu.89098879935"	2	"Phillips, Mary Geisler"	"1881-1964."	"juvenile"	2			"f"	"Juvenile audience|Fiction"	"Philadelphia|Macrae Smith"	1926	1926				"Honey bees and fairy dust"	"Folklore|Bees"
"mdp.39015061866318"	1	"Chaffee, Allen"		"juvenile"	1			"m"	"Novel|Juvenile audience"	"Springfield, Mass.|McLoug"	1930	1930				"Lost! : Two boys battle the elements"	
"umn.31951000888300t"	1	"Field, Rachel"	"1894-1942."	"juvenile"	1			"f"	"NotFiction"	"Garden City, N.Y.|Doubled"	1931	1931	"us"			"The yellow shop"	
"mdp.39015012063759"	1	"BelprÃ©, Pura"	"1899-1982."	"juvenile"	1			"f"	"UnknownGenre"	"New York|London|F. Wane &"	1932	1932	"pr"		"Belpré, Pura"	"Perez and Martina, a Portorican folk tale"	
"mdp.39015010768078"	2	"Coatsworth, Elizabeth Jane"	"1893-1986."	"juvenile"	2			"f"	"NotFiction"	"New York|Macmillan|1934."	1934	1934	"us"			"Away goes Sally"	
"mdp.39015014583051"	1			"juvenile"	1		1932	"u"	"Fiction"	"New York|E. P. Dutton & c"	1938	1932				"The land of nursery rhyme"	
"uc1.b4098426"	1	"Haywood, Carolyn"	"1898-1990."	"juvenile"	1			"f"	"NotFiction"	"New York|Harcourt, Brace "	1940	1940	"us"			"Two and two are four;"	
"mdp.39015005775120"	1	"Lenski, Lois"	"1893-1974."	"juvenile"	1			"f"	"UnknownGenre"	"Philadelphia|J.B. Lippinc"	1941	1941	"us"			"Indian captive: the story of Mary Jemison"	"Fiction|Jemison, Mary|174"
"mdp.39076002271778"	1	"Hunt, Mabel Leigh"	"1892-1971."	"juvenile"	1			"f"	"Fiction"	"Philadelphia|J.B. Lippinc"	1945	1945	"us"			"Sibby Botherbox"	"Imaginary companions|Juve"
"umn.319510008901568"	1	"Cavanna, Betty"	"1909-2001."	"juvenile"	1			"f"	"NotFiction"	"Philadelphia|Westminster "	1948	1948	"us"			"A girl can dream"	"Airplanes|Piloting|Juveni"
"mdp.39015024087515"	1	"Williams, Ursula Moray"	"1911-2006."	"juvenile"	1			"f"	"UnknownGenre"	"London|Chatto & Windus|19"	1951	1951	"uk"			"Jockin the jester"	
"mdp.39015027551335"	2	"Chute, Marchette"	"1909-1994."	"juvenile"	2			"f"	"Juvenile audience|Fiction"	"New York|Dutton|1954."	1954	1954	"us"			"The wonderful winter"	"London|Theater|Fiction|Hi"
"uc1.b4098261"	1	"Gibson, Katharine"	"1893-1960"	"juvenile"	1			"f"	"Fiction"	"New York|Longmans, Green|"	1954	1954	"us"			"To see the queen"	
"pst.000007265099"	1	"Wyndham, Lee"	"1912-"	"juvenile"	1			"m"	"NotFiction"	"New York|Scholastic Book "	1955	1955				"Susie and the ballet family"	
"mdp.39076006981612"	1	"Lenski, Lois"	"1893-1974."	"juvenile"	1			"f"	"Fiction"	"Philadelphia|Lippincott|1"	1957	1957	"us"			"Houseboat girl"	
"coo.31924014391860"	2	"Potter, Beatrix"	"1866-1943."	"juvenile"	1		1905	"f"	"Juvenile audience|Fiction"	"New York|F. Warne|1963?"	1963	1943	"uk"			"The tale of Mrs. Tiggy-Winkle"	
"mdp.39015027228280"	1	"Southall, Ivan Francis"	"1921-"	"juvenile"	1		1962	"m"	"Fiction"	"New York|St. Martin's Pre"	1963	1962	"au"			"Hills End"	
"uc1.b3189834"	1	"Shemin, Margaretha"		"juvenile"	1			"f"	"NotFiction"	"Coward-McCann|1963"	1963	1963				"The little riders"	
"uc1.b3406949"	1	"Schatz, Letta"		"juvenile"	1			"u"	"NotFiction"	"New York|McGraw-Hill|1964"	1964	1964				"Taiwo and her twin"	
"inu.39000003642282"	1	"Harris, Christie"	"1907-2002"	"juvenile"	1			"f"	"NotFiction"	"Toronto|McClelland and St"	1975	1975	"ca"			"Sky man on the totem pole?"	"Folklore|Indians of North"
"pst.000021269554"	1	"Bishop, Claire Huchet"	"1898-1993."	"juvenile"	1	1992	1953	"f"	"NotFiction"	"New York|Viking Press|199"	1981	1981	"us"			"All alone"	
"pst.000046236876"	1	"Barklem, Jill"	"1915-2017"	"juvenile"	1	"Books B36425secrs 1999"		"f"	"NotFiction"	"New York|Atheneum Books, "	1983	1983	"uk "			"The secret staircase"	"Fiction|Mice"
"hvd.hwjw3g"	11	"Edgeworth, Maria"	"1767-1849."	"juvenile"	4	"v.1"	1801	"f"	"Juvenile audience|Fiction"	"London;R. Hunter and Bald"	1821	1821	"uk"			"Moral tales"	"English fiction|Conduct o"
"nyp.33433081989703"	1	"Torrey, Jesse"	"fl. 1787-1834."	"juvenile"	1			"m"	"Juvenile audience|NotFict"	"Philadelphia;Grigg & Elli"	1844	1834	"us"			"The pleasing companion ; = or Second reader. Designed for the use of common schools and families"	"Textbooks"
"nyp.33433082297213"	1	"Thoms, William John"	"1803-1885."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"New York;Wiley and Putnam"	1846	1846	"uk"			"Gammer Gurton's famous histories : of Sir Guy of Warwick, Sir Bevis of Hampton, Tom Hickathrift, Friar Bacon, Robin Hood, and the King and the cobbler"	"Heroes|Chivalry|England|T"
"inu.30000005359421"	1	"Gilman, Caroline (Howard)"	"1794-1888."	"juvenile"	1		1850	"f"	"Juvenile audience|Fiction"	"New York;Blakeman & Mason"	1864	1844	"us"		"Gilman, Caroline Howard"	"Stories and poems for children"	
"uc2.ark+=13960=t2d796f7k"	1		"1824-1906"	"juvenile"	1			"m"		"London;Griffith and Farra"	1870	1870	"uk"		"Weir, Harrison"	"Favourite fables, in prose and verse"	
"mdp.39015034252612"	1	"Ouina (Spirit)"		"juvenile"	1			"o"	"Juvenile audience|Fiction"	"Ottumwa, Iowa;D.M. & N.P."	1882	1882	"us"			"Ouina's canoe and Christmas offering : filled with flowers for the darlings of earth"	"Christmas stories|Spiritu"
"nyp.33433075766737"	1		"1822-1911"	"juvenile"	1			"f"	"Fiction"	"New York;The Catholic Pub"	1890	1890	"uk"		"Herbert, Mary Elizabeth, Baroness"	"Peter's journey, and other tales"	"English fiction"
"nyp.33433074835434"	1	"Benedict, Clare"	"1870-1961"	"juvenile"	1			"f"	"Fiction"	"Edinburgh;A. Elliot;1912."	1912	1912	"us"			"European backgrounds"	"American fiction"
"inu.39000005799817"	2	"Parkinson, Ann"		"juvenile"	2	"v.2"	1959	"f"	"NotFiction"	"Singapore|Eastern Univers"	1962	1962				"Malayan fables, retold from the Malay annals"	"Folklore|Malaysia|Malaya|"
"mdp.39015018605686"	1	"Picard, Barbara Leonie"	"1917-2011"	"juvenile"	1		1951	"f"	"UnknownGenre"	"New York|Criterion Books|"	1964	1964	"uk"			"The faun and the woodcutter's daughter"	"Fairy tales"
"mdp.39015078574327"	37	"Wyss, Johann David"	"1743-1818."	"juvenile"	2	"v.2"	1812	"m"	"Juvenile audience|Publish"	"London;Printed for M.J. G"	1818	1818	"swi"			"The Swiss family Robinson: or, Adventures of a father and mother and four sons in a desert island: being a practical illustration of the first principles of machanics, natural philosophy, natural history, and all those branches of science which most immediately apply to the business of life. Translated from the German of M. Wiss [1]"	"Shipwreck survival|Advent"
"nyp.33433082548128"	1	"Hancock, H. Irving (Harrie Irving)"	"1868-1922."	"juvenile"	1			"m"	"NotFiction"	"Philadelphia;Henry Altemu"	1911	1911	"us"			"Dick Prescott's second year at West Point; or, Findng the glory of the soldier's life"	
"nyp.33433088073741"	1			"juvenile"	1			"u"	"Fiction"	"New York;J.Q. Preble;1855"	1855	1855				"The little Esop"	
"hvd.rslysq"	1	"Hays, Mary"	"1759 or 60-1843."	"nonfic"	1				"NotFiction"	"London;Printed for Richar"	1803	1803				"Female biography; or, memoirs of illustrious and celebrated women, of all ages and countries"	"Women|Biography"
"uva.x000468330"	1	"PÃ©rez de Hita, GinÃ©s"	"1544?-1619?"	"nonfic"	1			"u"	"NotFiction"	"London;T. Ostell;1803."	1803	1803				"The civil wars of Granada;"	"History"
"uc2.ark+=13960=t4nk38459"	2	"Pitt, William"	"1708-1778"	"nonfic"	2			"m"		"London;Printed for T. Pay"	1804	1804	"uk"			"Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq"	"Pitt, William|Camelford, "
"nyp.33433074869425"	1	"Ireland, W. H. (William Henry)"	"1777-1835."	"nonfic"	1			"m"	"Fiction"	"London;C. Chapple;1805."	1805	1805	"uk"			"Effusions of love from Chatelar to Mary, queen of Scotland"	"Queen of Scots|Fiction|15"
"nyp.33433076082514"	1	"Melmoth, Sydney"		"nonfic"	1				"NotFiction"	"Huddersfield;Printed by B"	1805	1805				"Beauties of English prose"	
"mdp.39015062381705"	1	"Meade, Thomas"		"nonfic"	1			"m"	"UnknownGenre"	"Bath;Printed by R. Cruttw"	1806	1806				"A reply to a paper, circulated under the name of the Lord Bishop of Lincoln, the object of which to counteract a verdict in an action brought by Thomas Meade, esq., against the Rev. Charles Daubeny, before Lord Kenyon and a special jury, in the Court of King's-Bench, in June 1792"	"Daubeny, Charles|1745-182"
"uc2.ark+=13960=t3pv6bn87"	2	"Wheatley, Sarah"		"nonfic"	2			"u"		"London;Longman, Hurst, Re"	1806	1806				"The Christmas fire-side"	"Juvenile literature|Condu"
"njp.32101038171995"	1	"Ireland, W. H. (William Henry)"	"1777-1835."	"nonfic"	1			"m"	"Fiction"	"London;Printed by J. Smee"	1807	1807	"uk"		"Ireland, William Henry"	"All the blocks! : or, an antidote to 'All the talents'. A satirical poem in three dialogues"	"Politics and government|A"
"loc.ark+=13960=t4pk12p1m"	1	"Salvo, Carlo"		"nonfic"	1			"u"		"Troy, N.Y.;Published by W"	1808	1808				"Travels in the year 1806, from Italy to England"	"Description and travel|Po"
